name,icao_code
Air Bee,M-IT-2710
Air Belfast,
Air Belgium,M-BE-421
Air Benin,M-BJ-529
Air Berlin Aviation,
Air Berlin Turkey,M-TR-4900
Air Berlin USA,M-US-5214
Air Birmingham,M-GB-2080
Air Bishkek,M-KG-2967
Air Bokanda,M-ZA-5390
Air Born Indonesia,M-ID-2333
Air Bosna,M-BA-386
Air Botnia,M-FI-1803
Air Bourbon,M-RE-4125
Air Bras d'Or,M-CA-794
Air Brasd'or,BRL
Air Brasil,M-BR-568
Air Brasil,M-BR-569
Air Brazeau,M-CA-796
Air Bremen,
Air Bridge,M-GB-2057
Air Bristol,M-GB-2058
Air Brousse,ABT
Air Burundi,M-BI-524
Air Caledonia,ACM
Air California,M-US-5215
Air Calypso,M-BB-395
Air Cambodge,M-KH-2998
Air Canada,M-CA-798
Air Canada Jazz,M-CA-799
Air Canada Regional,M-CA-801
Air Canada Tango,M-CA-802
Air Caraibes Atlantique,CAJ
Air Care Alliance,CMF
Air Cargo America,MVM
Air Cargo Australia,M-AU-277
Air Cargo Belize,CGB
Air Cargo Center,GRI
Air Cargo Egypt,M-EG-1609
Air Cargo Express,TDG
Air Cargo Express International,PFT
Air Cargo Germany,
Air Cargo Masters,RNR
Air Cargo Mongolia,M-MN-3288
Air Cargo Plus,M-LR-3140
Air Cargo Services,M-US-5216
Air Cargo Spain,M-ES-1711
Air Cargo Transportation System,ACU
Air Caribbean,M-TT-4978
Air Carnival,M-IN-2544
Air Carolina,M-US-5217
Air Carriers,FCI
Air Carriers of Zambia,M-ZM-5465
Air Cassai,RCI
Air Castle Corporation / Global Airways,GLB
Air Caucasus,M-GE-2083
Air Cavrel,
Air Centafrique,M-CF-924
Air Center Helicopters,RAP
Air Cess,ACS
Air Ceylon,M-LK-3132
Air Chariot,M-US-5218
Air Charter,M-CH-947
Air Charter,M-FR-1916
Air Charter Africa,M-GM-2148
Air Charter Express,M-GH-2119
Air Charter Professionals,CHV
Air Charter Service,ACV
Air Charter World,XAC
Air Charters,ACX
Air Charters Eelde,RCC
Air China,CCA
Air Class,ASS
Air Class Lineas Aereas (Aerovip),M-UY-5281
Air Club International,M-CA-803
Air CM Global,M-MT-3361
Air Comet,M-ES-1712
Air Comet Chile,M-CL-1043
Air Commuter,M-US-5219
Air Comores,M-KM-3023
Air Concorde,KGD
Air Consul,CNU
Air Contractors,M-IE-2467
Air Corridor,M-MZ-3569
Air Costa,M-IN-2546
Air Costa Rica,M-CR-1272
