IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
DEL,VIDP,,Indira Gandhi International Airport,India,New Delhi,777 feet,28.5664997101,77.1031036377,/charts/VIDP.pdf,https://www.newdelhiairport.in,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,Large Airport,IN
JAI,VIJP,,Jaipur International Airport,India,Jaipur,"1,263 feet",26.8241996765,75.8122024536,,https://www.aai.aero/en/airports/jaipur,https://en.wikipedia.org/wiki/Jaipur_International_Airport,Large Airport,IN
JGN,ZLJQ,,Jiayuguan Airport,China,Jiayuguan,5112 feet,39.8568992615,98.3414001465,,,https://en.wikipedia.org/wiki/Jiayuguan_Airport,Large Airport,CN
SUB,WARR,,Juanda International Airport,Indonesia,Surabaya,9 feet,-7.3798298836,112.7870025635,,,https://en.wikipedia.org/wiki/Juanda_International_Airport,Large Airport,ID
CNN,VOKN,,Kannur International Airport,India,Kannur,249 feet,11.9200000000,75.5500000000,,https://www.kannurairport.aero,https://en.wikipedia.org/wiki/Kannur_International_Airport,Large Airport,IN
KHG,ZWSH,,Kashgar Airport (Kashi Airport),China,Kashgar,"4,529 feet",39.5429000854,76.0199966431,/charts/ZWSH.pdf,,https://en.wikipedia.org/wiki/Kashgar_Airport,Large Airport,CN
BLR,VOBL,,Kempegowda International Airport,India,Bengaluru,915 feet,13.1978998184,77.7062988281,,https://www.bengaluruairport.com,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,Large Airport,IN
BKI,WBKK,,Kota Kinabalu International Airport,Malaysia,Kota Kinabalu,10 feet,5.9372100830,116.0510025024,,,https://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport,Large Airport,MY
KBV,VTSG,,Krabi Airport,Thailand,Krabi,82 feet,8.0991201401,98.9861984253,,,https://en.wikipedia.org/wiki/Krabi_Airport,Large Airport,TH
KUL,WMKK,,Kuala Lumpur International Airport,Malaysia,Sepang,69 feet,2.7455799580,101.7099990845,,https://airports.malaysiaairports.com.my,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,Large Airport,MY
KCH,WBGG,,Kuching International Airport,Malaysia,Kuching,89 feet,1.4846999645,110.3470001221,,,https://en.wikipedia.org/wiki/Kuching_International_Airport,Large Airport,MY
KMG,ZPPP,,Kunming Wujiaba International Airport,China,Kunming,"6,217 feet",24.9923992157,102.7440032959,/charts/ZPPP.pdf,,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,Large Airport,CN
LGK,WMKL,,Langkawi International Airport,Malaysia,Langkawi,29 feet,6.3297300339,99.7286987305,,,https://en.wikipedia.org/wiki/Langkawi_International_Airport,Large Airport,MY
LXA,ZULS,,Lhasa Gonggar Airport,China,Shannan (Gonggar),"11,700 feet",29.2972830000,90.9132470000,/charts/ZULS.pdf,,https://en.wikipedia.org/wiki/Lhasa_Gonggar_Airport,Large Airport,CN
HIA,ZSSH,,Lianshui Airport,China,Huai'an,28 feet,33.7908333333,119.1250000000,,,https://en.wikipedia.org/wiki/Huai'an_Lianshui_Airport,Large Airport,CN
LYG,ZSLG,,Lianyungang Airport,China,Lianyungang,,34.5716670000,118.8736110000,,,https://en.wikipedia.org/wiki/Lianyungang_Baitabu_Airport,Large Airport,CN
LJG,ZPLJ,,Lijiang Airport,China,Lijiang,7359 feet,26.6800003052,100.2460021970,/charts/ZPLJ.pdf,,https://en.wikipedia.org/wiki/Lijiang_Sanyi_International_Airport,Large Airport,CN
GAU,VEGT,,Lokpriya Gopinath Bordoloi International Airport,India,Guwahati,162 feet,26.1061000824,91.5858993530,,https://www.aai.aero/en/airports/guwahati,https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,Large Airport,IN
LPQ,VLLB,,Luang Prabang International Airport,Laos,Luang Phabang,955 feet,19.8973007202,102.1610031128,,,https://en.wikipedia.org/wiki/Luang_Prabang_International_Airport,Large Airport,LA
LYA,ZHLY,,Luoyang Airport,China,Luoyang (Laocheng),840 feet,34.7411003113,112.3880004880,,,https://en.wikipedia.org/wiki/Luoyang_Beijiao_Airport,Large Airport,CN
MFM,VMMC,,Macau International Airport,Macau,Nossa Senhora do Carmo,20 feet,22.1495990753,113.5920028687,,https://www.macau-airport.com/en,https://en.wikipedia.org/wiki/Macau_International_Airport,Large Airport,MO
MLE,VRMM,,Malé International Airport,Maldives,Malé,"1,051 feet",4.1918301582,73.5290985107,,,https://en.wikipedia.org/wiki/Velana_International_Airport,Large Airport,MV
MDL,VYMD,,Mandalay International Airport,Myanmar (Burma),Mandalay,300 feet,21.7021999359,95.9778976440,,,https://en.wikipedia.org/wiki/Mandalay_International_Airport,Large Airport,MM
IXE,VOML,,Mangalore International Airport,India,Mangaluru,337 feet,12.9612998962,74.8900985718,,https://www.aai.aero/en/airports/mangalore,https://en.wikipedia.org/wiki/Mangalore_International_Airport,Large Airport,IN
MEL,YMML,,Melbourne Airport,Australia,Melbourne,434 feet,-37.6733016968,144.8430023193,,,https://en.wikipedia.org/wiki/Melbourne_Airport,Large Airport,AU
,,,Mokha International Airport,Yemen,Mokha,,,,,,,Large Airport,YE
KHN,ZSCN,,Nanchang Changbei International Airport,China,Nanchang,143 feet,28.8649997711,115.9000015259,/charts/ZSCN.pdf,,https://en.wikipedia.org/wiki/Nanchang_Changbei_International_Airport,Large Airport,CN
NKG,ZSNJ,,Nanjing Lukou International Airport,China,Nanjing,49 feet,31.7420005798,118.8619995117,/charts/ZSNJ.pdf,,https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,Large Airport,CN
NNG,ZGNN,,Nanning Wuxu Airport,China,Nanning (Jiangnan),421 feet,22.6082670000,108.1724420000,/charts/ZGNN.pdf,http://www.nnairport.com,https://en.wikipedia.org/wiki/Nanning_Wuxu_International_Airport,Large Airport,CN
NYT,VYNT,,Naypyidaw Airport,Myanmar (Burma),Naypyitaw,302 feet,19.6235008240,96.2009963989,,,https://en.wikipedia.org/wiki/Naypyidaw_Airport,Large Airport,MM
CCU,VECC,,Netaji Subhash Chandra Bose International Airport,India,Kolkata,16 feet,22.6546993256,88.4467010498,,https://www.kolkatainternationalairport.com,https://en.wikipedia.org/wiki/Netaji_Subhas_Chandra_Bose_International_Airport,Large Airport,IN
