IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
PGQ,WAEM,,,,Pekaulang,7 feet,,,,,,Small Airport,ID
LKM,WAMI,,,,Lolak,28 feet,,,,,,Small Airport,ID
BRG,WAMO,,,,Balirangen,155 feet,,,,,,Small Airport,ID
MWS,WAMP,,,,Morowali,24 feet,,,,,,Small Airport,ID
IAX,WAMS,,,,Miangas,9 feet,,,,,,Small Airport,ID
WBA,WAPV,,,,Wahai,558 feet,,,,,,Small Airport,ID
RTU,WAQC,,,,Maratua,43 feet,,,,,,Small Airport,ID
LNU,WAQM,,,,Malinau,26 feet,,,,,,Small Airport,ID
JBB,WARE,,,,Jember,281 feet,,,,,,Small Airport,ID
BXW,WARW,,,,Bawean,93 feet,,,,,,Small Airport,ID
RJM,WASN,,,,Waisai,9 feet,,,,,,Small Airport,ID
WAD,,,,,Andriamena,2475 feet,,,,,,Small Airport,MG
RCE,WA09,WA09,,,Roche Harbor,100 feet,,,,,,Small Airport,US
TQQ,WAWC,,,,Waha-Tomea Island,169 feet,,,,,,Small Airport,ID
THD,VVTX,,,,Thanh Hóa,59 feet,,,,,,Small Airport,VN
VBA,VYAN,,,,Aeng,74 feet,,,,,,Small Airport,MM
VBP,VYBP,,,,Bokpyinn,100 feet,,,,,,Small Airport,MM
VBC,VYCZ,,,,Mandalay,252 feet,,,,,,Small Airport,MM
SRU,VYFS,,,,Falam,6012 feet,,,,,,Small Airport,MM
NYW,VYMY,,,,Monywar,298 feet,,,,,,Small Airport,MM
RPA,VNRP,,,,Rolpa,4100 feet,,,,,,Small Airport,NP
SYH,VNSB,,,,Namche Bazaar,12400 feet,,,,,,Small Airport,NP
TPU,VNTP,,,,Tikapur,522 feet,,,,,,Small Airport,NP
GBI,VOGB,,,,Kalaburagi,1571 feet,,,,,,Small Airport,IN
RMD,VORG,,,,Ramagundam,670 feet,,,,,,Small Airport,IN
TCR,VOTK,,,,Vagaikulam,129 feet,,,,,,Small Airport,IN
HRF,VRAH,,,,,,,,,,,Small Airport,MV
HDK,VRBK,,,,Kulhudhuffushi,,,,,,,Small Airport,MV
IFU,VREI,,,,Ifuru Island,20 feet,,,,,,Small Airport,MV
DRV,VRMD,,,,Baa Atoll,6 feet,,,,,,Small Airport,MV
GKK,VRMO,,,,Huvadhu Atoll,29 feet,,,,,,Small Airport,MV
DDD,VRMU,,,,Kudahuvadhoo,6 feet,,,,,,Small Airport,MV
TMF,VRNT,,,,Thimarafushi,6 feet,,,,,,Small Airport,MV
RUL,VRQM,,,,Maavaarulu,,,,,,,Small Airport,MV
HRH,VIAH,,,,Aligarh,619 feet,,,,,,Small Airport,IN
VSV,VISV,,,,Shravasti,366 feet,,,,,,Small Airport,IN
VIV,,,,,Vivigani,117 feet,,,,,,Small Airport,PG
VJQ,,,,,Gurue,2248 feet,,,,,,Small Airport,MZ
XIE,VLXL,,,,Xienglom,1830 feet,,,,,,Small Airport,LA
CWK,VECT,,,,Chitrakoot,1050 feet,,,,,,Small Airport,IN
DGH,VEDO,,,,Deoghar,361 feet,,,,,,Small Airport,IN
DEP,VEDZ,,,,Daporijo,750 feet,,,,,,Small Airport,IN
JRG,VEJH,,,,,751 feet,,,,,,Small Airport,IN
AZH,VEAH,,,,Azamgarh,250 feet,,,,,,Small Airport,IN
ELX,,,,,El Tigre,837 feet,,,,,,Small Airport,VE
,XS50,XS50,4G Ranch Airport,United States,Concepcion,272 feet,,,,,,Small Airport,US
,WY11,WY11,A Bar A Ranch Airstrip,United States,Encampment,7880 feet,,,,,,Small Airport,US
,YABG,,Abbieglassie Airstrip,Australia,Abbieglassie,869 feet,,,,,,Small Airport,AU
,VG58,VG58,Abbott Airport,United States,Rocky Mount,981 feet,,,,,,Small Airport,US
,,,Abd al-Kuri Air Base,Yemen,Kilmia,,,,,,,Small Airport,YE
,YABD,,Aberdeen Airport,Australia,Aberdeen,971 feet,,,,,,Small Airport,AU
,YABF,,Aberfoyle Airport,Australia,Torrens Creek,900 feet,,,,,,Small Airport,AU
,YABR,,Abra Mine Camp Airport,Australia,Peak Hill,1725 feet,,,,,,Small Airport,AU
RSK,WASC,,Abresso Airport,Indonesia,Ransiki-Papua Island,52 feet,-1.5084500313,134.1869964600,,,,Small Airport,ID
,YRAT,,Abrolhos Rat Island,Australia,,16 feet,,,,,,Small Airport,AU
,YACS,,Acacia Downs Airport,Australia,,,,,,,,Small Airport,AU
,WA12,WA12,Acme Field,United States,Acme,301 feet,,,,,,Small Airport,US
,YADY,,Adaminaby Airport,Australia,Adaminaby,3346 feet,,,,,,Small Airport,AU
,,,Adamsfontein Airport,South Africa,Colesberg,3970 feet,,,,,,Small Airport,ZA
,YADA,,Adavale Airfield,Australia,Adavale,814 feet,,,,,,Small Airport,AU
,YPPF,,Adelaide Parafield Airport,Australia,Adelaide,57 feet,,,,,,Small Airport,AU
,YADL,,Adele Island Airstrip,Australia,Adele Island,16 feet,,,,,,Small Airport,AU
,YALG,,Adels Grove Airport,Australia,,,,,,,,Small Airport,AU
,,,Aero 57 Airport,South Africa,Monavoni,5100 feet,,,,,,Small Airport,ZA
,,,Aero Den Airport,South Africa,Brits,4050 feet,,,,,,Small Airport,ZA
,,,Aero Farm Airport,South Africa,Harrismith,5580 feet,,,,,,Small Airport,ZA
,,,Aerofumigaciones Campo Alegre Airstrip,Venezuela,Campo Alegre,,,,,,,Small Airport,VE
,,,Aeropark Zyn Kraal,South Africa,,4900 feet,,,,,,Small Airport,ZA
,Z23Z,,Aeródromo Militar del Comando de Artillería,Paraguay,Comando de Artillería,500 feet,,,,,,Small Airport,PY
,,,Afrikaanse Hengel Vereeniging (Afrikaans Fishing Association) Airport,South Africa,Balfour,4879 feet,,,,,,Small Airport,ZA
,,,Agats Airport,Indonesia,Agats,17 feet,,,,,,Small Airport,ID
,YAWT,,Agnes Water private Airport,Australia,Agnes Water,60 feet,,,,,,Small Airport,AU
AIP,VIAX,,Ailinglaplap Airport,Marshall Islands,Adampur,22 feet,7.2794215918,168.8256999850,,,,Small Airport,IN
,,W88,Air Harbor Airport,United States,Greensboro,822 feet,,,,,,Small Airport,US
,WI69,WI69,Air Troy Estates Restricted Airport,United States,East Troy,820 feet,,,,,,Small Airport,US
,VI90,,Akbarpur Mahamaya Rajkiya Airport,India,Akbarpur,288 feet,,,,,,Small Airport,IN
,WAYG,,Akimuga Airstrip,Indonesia,Akimuga,164 feet,,,,,,Small Airport,ID
,,,Akroville Airport,United States,Slidell,895 feet,,,,,,Small Airport,US
,Z19M,,Al Abdaliyah Highway Strip,Kuwait,Al Abdaliyah,330 feet,,,,,,Small Airport,KW
,,,Al Dhaba Airport,Yemen,Al Dhaba,52 feet,,,,,,Small Airport,YE
,WS74,WS74,Al's Airway Airport,United States,Watertown,825 feet,,,,,,Small Airport,US
,,,Alberta Airport,South Africa,Inhoek,5540 feet,,,,,,Small Airport,ZA
,YALH,,Albilbah Airport,Australia,,,,,,,,Small Airport,AU
,YABS,,Albion Downs Airport,Australia,,,,,,,,Small Airport,AU
,YALC,,Alcoota Station Airport,Australia,Alcoota,1994 feet,,,,,,Small Airport,AU
,,,Aldam Airport,South Africa,Aldam,5105 feet,,,,,,Small Airport,ZA
,YALY,,Alderley Airport,Australia,,,,,,,,Small Airport,AU
,YADR,,Aldersyde Airstrip,Australia,Miles,1001 feet,,,,,,Small Airport,AU
,YADG,,Aldinga Airport,Australia,Aldinga,110 feet,,,,,,Small Airport,AU
,YACD,,Alice Downs Station Airport,Australia,Alice Downs,991 feet,,,,,,Small Airport,AU
,,,Alkantpan Copper Airport,South Africa,Cooperton,3589 feet,,,,,,Small Airport,ZA
,FACO,,Alkantpan Test Range Airport,South Africa,,3530 feet,,,,,,Small Airport,ZA
,YALM,,Allambie Airport,Australia,,,,,,,,Small Airport,AU
,YALN,,Allandy Airport,Australia,Packsaddle,,,,,,,Small Airport,AU
,,,Alldays (Greater Kuduland) Airport,South Africa,Alldays,2590 feet,,,,,,Small Airport,ZA
,,,Alldays Safaris Airport,South Africa,Alldays,2650 feet,,,,,,Small Airport,ZA
,VT26,VT26,Allenholm Airport,United States,South Hero,140 feet,,,,,,Small Airport,US
,XA34,XA34,Allison Farm Airport,United States,Decatur,850 feet,,,,,,Small Airport,US
,,,Almar Exclusive Game Ranch Airport,South Africa,Bloemhof,4150 feet,,,,,,Small Airport,ZA
ARD,WATM,,Alor Island Airport,Indonesia,Kabola,10 feet,-8.1323404312,124.5970001221,,,https://en.wikipedia.org/wiki/Alor_Island_Airport,Small Airport,ID
,WS81,WS81,Alpha Hotel Airport,United States,Webster,1000 feet,,,,,,Small Airport,US
,YALP,,Alpurrurulam Airport,Australia,Alpurrurulam,651 feet,,,,,,Small Airport,AU
AWN,YADS,,Alton Downs Airport,Australia,,,-26.5333003998,139.2669982910,,,https://en.wikipedia.org/wiki/Alton_Downs_Airport,Small Airport,AU
,,,Altona Airport,South Africa,Philadelphia,261 feet,,,,,,Small Airport,ZA
,,,Alverstone Airfield,South Africa,Mpumalanga,2740 feet,,,,,,Small Airport,ZA
AHI,WAPA,,Amahai Airport,Indonesia,Amahai,29 feet,-3.3480000496,128.9259948730,,,https://en.wikipedia.org/wiki/Amahai_Airport,Small Airport,ID
,,,Amatikulu (Microlight) Airport,South Africa,Amatikulu,240 feet,,,,,,Small Airport,ZA
,YABL,,Ambalindum Airport,Australia,Ambalindum,1966 feet,,,,,,Small Airport,AU
,YABU,,Amburla Airport,Australia,Burt Plain,,,,,,,Small Airport,AU
,,,Amersfoort Airport,South Africa,Amerspoort,4500 feet,,,,,,Small Airport,ZA
,YATR,,Amphitheatre Airport,Australia,,,,,,,,Small Airport,AU
,,,Amphitheatre Lodge Airport,South Africa,Ethels Drive,3900 feet,,,,,,Small Airport,ZA
,YAMJ,,Ampilatwatja Airport,Australia,Ampilatwatja,1290 feet,,,,,,Small Airport,AU
,YADO,,Andado Airport,Australia,Ghan,549 feet,,,,,,Small Airport,AU
MXB,WAFM,,Andi Jemma Airport,Indonesia,Masamba,164 feet,-2.5580399036,120.3239974976,,,,Small Airport,ID
,WBAK,,Anduki Airport,BN,Seria,7 feet,,,,,,Small Airport,BN
,YANJ,,Angatja Airport,Australia,,,,,,,,Small Airport,AU
,VYAS,,Anisakan Airport,Myanmar,Anisakan,3000 feet,,,,,,Small Airport,MM
AKA,ZLAK,,Ankang Airport,China,Ankang (Hanbin),56 feet,32.7080993652,108.9309997559,,,https://en.wikipedia.org/wiki/Ankang_Wulipu_Airport,Small Airport,CN
,YANK,,Anna Creek Airport,Australia,,300 feet,,,,,,Small Airport,AU
,YAPA,,Anna Plains Airport,Australia,Eighty Mile Beach,66 feet,,,,,,Small Airport,AU
,,,Annakop Airport,South Africa,Annakop,2528 feet,,,,,,Small Airport,ZA
,YADE,,Annandale Airstrip,Australia,Coppabella,853 feet,,,,,,Small Airport,AU
,YANN,,Anningie Airport,Australia,,,,,,,,Small Airport,AU
,YANW,,Annitowa Airport,Australia,,901 feet,,,,,,Small Airport,AU
,YAND,,Answer Downs Airport,Australia,,,,,,,,Small Airport,AU
,WY33,WY33,Antelope Run Ranch Airport,United States,Daniel,7470 feet,,,,,,Small Airport,US
,,,Anton Fourie Farm Airport,South Africa,Anton Fourie,4300 feet,,,,,,Small Airport,ZA
AYN,ZHAY,,Anyang Airport,China,Anyang,,36.1338996887,114.3440017700,,,https://en.wikipedia.org/wiki/Anyang_Airport,Small Airport,CN
,,,Apex Airpark,United States,Silverdale,525 feet,,,,,,Small Airport,US
,,,Apoipó Airstrip,Venezuela,Comunidad Apoipó,2812 feet,,,,,,Small Airport,VE
,YAPO,,Apollo Bay Airport,Australia,,,,,,,,Small Airport,AU
,VA31,VA31,Apple Grove Airport,United States,Kilmarnock,15 feet,,,,,,Small Airport,US
,,,Appleby Airport,South Africa,Vijoenskroon,4300 feet,,,,,,Small Airport,ZA
,YAQA,,Aquila Airfield,Australia,,170 feet,,,,,,Small Airport,AU
,YARP,,Arapunya Airport,Australia,,,,,,,,Small Airport,AU
,YAUL,,Aratula Airstrip,Australia,,465 feet,,,,,,Small Airport,AU
,,,Arbeitsgenot Airport,South Africa,Winburg,4800 feet,,,,,,Small Airport,ZA
,YACI,,Arcadia Airport,Australia,,,,,,,,Small Airport,AU
,YAKG,,Arckaringa Airport,Australia,,,,,,,,Small Airport,AU
,VT59,VT59,Ardell Flying Field,United States,Manchester,1919 feet,,,,,,Small Airport,US
,YADU,,Ardgour Airstrip,Australia,,1657 feet,,,,,,Small Airport,AU
,YARL,,Ardlethan Airport,Australia,,,,,,,,Small Airport,AU
,YAOR,,Ardmore Airport,Australia,,,,,,,,Small Airport,AU
,YARS,,Ardrossan Airport,Australia,,92 feet,,,,,,Small Airport,AU
,YARN,,Areyonga Airport,Australia,Mereenie,,,,,,,Small Airport,AU
,YARD,,Argadargada Airport,Australia,,,,,,,,Small Airport,AU
,YAGL,,Argyle Airstrip,Australia,Kingsthorpe,,,,,,,Small Airport,AU
,YARI,,Arizona 1 Airport,Australia,,,,,,,,Small Airport,AU
,,,Arizona Airport,South Africa,Senekal,5500 feet,,,,,,Small Airport,ZA
,YARK,,Arkaroola Airport,Australia,,783 feet,,,,,,Small Airport,AU
,YAML,,Armraynald Airport,Australia,,,,,,,,Small Airport,AU
,,,Arnot Power Station Airport,South Africa,Arnot Power Station,5594 feet,,,,,,Small Airport,ZA
,VG43,VG43,Arrowpoint Airport,United States,Madison,315 feet,,,,,,Small Airport,US
,WA1B,,Aru Airport,Indonesia,Fekfetal / Jerdera-Trangan Island,165 feet,,,,,,Small Airport,ID
,YADD,,Arubiddy Airport,Australia,,,,,,,,Small Airport,AU
,YAHD,,Ashburton Downs Airport,Australia,,,,,,,,Small Airport,AU
,YASF,,Ashford Airport,Australia,,,,,,,,Small Airport,AU
,,,Askari Airstrip,South Africa,Tzaneen,1575 feet,,,,,,Small Airport,ZA
,FAAK,,Askham Airport,South Africa,Askham,2801 feet,,,,,,Small Airport,ZA
,VT11,VT11,Ass-Pirin Acres Airport,United States,Addison,130 feet,,,,,,Small Airport,US
,,,Assegaay Bosch Game Lodge Airport,South Africa,Vanwyksdorp,620 feet,,,,,,Small Airport,ZA
,WIHJ,,Atang Senjaya Airport,Indonesia,Bogor,538 feet,,,,,,Small Airport,ID
AUT,WPAT,,Atauro Airport,Timor-Leste,Vila,29 feet,-8.2105197906,125.6159973145,,,,Small Airport,TL
,YATN,,Atherton Airport,Australia,Atherton,2450 feet,,,,,,Small Airport,AU
,WI43,WI43,Atkins Ridge Airport,United States,Daleyville,1090 feet,,,,,,Small Airport,US
,,,Atlantic Aerodrome,South Africa,City of Cape Town,240 feet,,,,,,Small Airport,ZA
,YATY,,Atley Airport,Australia,,,,,,,,Small Airport,AU
AOU,VLAP,,Attopeu Airport,Laos,Attopeu,344 feet,14.8147153570,106.8216991420,,,https://en.wikipedia.org/wiki/Attapeu_International_Airport,Small Airport,LA
,YATL,,Atula Airport,Australia,Anatye,915 feet,,,,,,Small Airport,AU
,,,Au Beep Flats Airport,South Africa,Sendelingsdrif,190 feet,,,,,,Small Airport,ZA
,WA84,WA84,Auburn Academy Airport,United States,Auburn,416 feet,,,,,,Small Airport,US
,,,Auchas Airport,South Africa,Auchas,141 feet,,,,,,Small Airport,ZA
,YAUA,,Augathella Airport,Australia,,,,,,,,Small Airport,AU
,,,Augrabies Airport,South Africa,Augrabies,2200 feet,,,,,,Small Airport,ZA
,,,Augrabies South Airport,South Africa,Augrabies,2260 feet,,,,,,Small Airport,ZA
AUD,YAGD,,Augustus Downs Airport,Australia,,46 feet,-18.5149993896,139.8780059814,,,,Small Airport,AU
,,,Avarel Airport,South Africa,Mopane,2100 feet,,,,,,Small Airport,ZA
,FAAP,,Aviators Paradise Field,South Africa,Primindia,3800 feet,,,,,,Small Airport,ZA
,YAVD,,Avon Downs Airport,Australia,,,,,,,,Small Airport,AU
,YAVM,,Avonmore Airport,Australia,,,,,,,,Small Airport,AU
,VIAW,,Awantipura Air Force Station,India,Awantipura,5393 feet,,,,,,Small Airport,IN
,VT14,VT14,Axinn Airport,United States,Weybridge,450 feet,,,,,,Small Airport,US
AYW,WASA,,Ayawasi Airport,Indonesia,Ayawasi,1560 feet,-1.2000000477,132.5000000000,,,https://en.wikipedia.org/wiki/Ayawasi_Airport,Small Airport,ID
,,,Babala Lodge Airport,South Africa,Fahad Game Reserve,2700 feet,,,,,,Small Airport,ZA
,WIOV,,Babang Airstrip,Indonesia,Jagoi,135 feet,,,,,,Small Airport,ID
BBL,YLLE,,Babolsar Airport,"Iran, Islamic Republic of",,385 feet,36.7200012207,52.6500015259,,,,Small Airport,AU
,YBSS,,Bacchus Marsh Airport,Australia,Bacchus Marsh,520 feet,,,,,,Small Airport,AU
,YELS,,Baddaginnie (Earlston) Airport,Australia,Violet Town,,,,,,,Small Airport,AU
BXD,WAKE,,Bade Airport,Indonesia,Bade,59 feet,-7.7146301270,139.5749969482,,,https://en.wikipedia.org/wiki/Bade_Airport,Small Airport,ID
NYU,VYBG,,Bagan Airport,Myanmar (Burma),Nyaung U,312 feet,21.1788005829,94.9301986694,,,https://en.wikipedia.org/wiki/Nyaung_U_Airport,Small Airport,MM
BGL,VNBL,,Baglung Airport,Nepal,Baglung,"3,320 feet",28.2127990723,83.6662979126,,,https://en.wikipedia.org/wiki/Baglung_Airport,Small Airport,NP
,YIKL,,Baikal Airport,Australia,,,,,,,,Small Airport,AU
,VT53,VT53,Bailey Airport,United States,Panton,140 feet,,,,,,Small Airport,US
BIT,VNBT,,Baitadi Airport,Nepal,Baitadi,4200 feet,29.4652996063,80.5492019653,,,https://en.wikipedia.org/wiki/List_of_airports_in_Nepal,Small Airport,NP
BJW,WATB,,Bajawa Padhameleda Airport,Indonesia,"Soa, Ngada",4326 feet,-8.7833299637,120.9499969482,,,https://en.wikipedia.org/wiki/Bajawa_Soa_Airport,Small Airport,ID
BJH,VNBG,,Bajhang Airport,Nepal,Bajhang,"4,100 feet",29.5389995575,81.1854019165,,,https://en.wikipedia.org/wiki/Bajhang_Airport,Small Airport,NP
BJU,VNBR,,Bajura Airport,Nepal,Bajura,"4,300 feet",29.5020008087,81.6689987183,,,https://en.wikipedia.org/wiki/Bajura_Airport,Small Airport,NP
BKM,WBGQ,,Bakalalan Airport,Malaysia,Bakalalan,2900 feet,3.9739999771,115.6179962158,,,https://en.wikipedia.org/wiki/Ba'kelalan_Airport,Small Airport,MY
,YASS,,Bakblok Airport,Australia,,1624 feet,,,,,,Small Airport,AU
,,,Baken Mine Airport,South Africa,Drifsand,135 feet,,,,,,Small Airport,ZA
,,,Bakenrant Boerdery Airport,South Africa,Kakamas,2205 feet,,,,,,Small Airport,ZA
,,,Bakenrant North Airport,South Africa,Kakamas,2244 feet,,,,,,Small Airport,ZA
,WY36,WY36,Bakers Field,United States,Powell,4350 feet,,,,,,Small Airport,US
,VIBL,,Bakshi Ka Talab Air Force Station,India,Lucknow,385 feet,,,,,,Small Airport,IN
,WIAC,,Balai Sepuak Airstrip,Indonesia,Balai Sepuak,51 feet,,,,,,Small Airport,ID
,YBVA,,Balaklava Airport,Australia,,,,,,,,Small Airport,AU
,,,Balamito Airstrip,Venezuela,,1683 feet,,,,,,Small Airport,VE
,YBII,,Balbirini Airfield,Australia,,254 feet,,,,,,Small Airport,AU
LCN,YBLC,,Balcanoona Airport,Australia,,144 feet,-30.5349998474,139.3370056152,,,https://en.wikipedia.org/wiki/Balcanoona_Airport,Small Airport,AU
,YBLI,,Bald Hills Airport,Australia,Hernani,4042 feet,,,,,,Small Airport,AU
,VOKP,,Baldota Koppal Aerodrome,India,Basapur,1700 feet,,,,,,Small Airport,IN
,WI14,WI14,Baldwin Airport,United States,Baldwin,1104 feet,,,,,,Small Airport,US
,YBFR,,Balfour Airport,Australia,,,,,,,,Small Airport,AU
,YBGI,,Balgair Airport,Australia,,,,,,,,Small Airport,AU
,,,Balhaf Yemen LNG Airport,Yemen,Balhaf,13 feet,,,,,,Small Airport,YE
,,,Balkfontein Airport,South Africa,Balkfontein,4190 feet,,,,,,Small Airport,ZA
,YBAL,,Balladonia Airport,Australia,,,,,,,,Small Airport,AU
,YBLT,,Ballarat Airport,Australia,,1433 feet,,,,,,Small Airport,AU
,YXBT,,Ballarat Health Service Helipad,Australia,Ballarat,1516 feet,,,,,,Small Airport,AU
,YBIU,,Ballidu Airport,Australia,,995 feet,,,,,,Small Airport,AU
,,,Ballito Bay (Dolphin Coast) Airport,South Africa,Ballito Bay,200 feet,,,,,,Small Airport,ZA
,,,Balmoral Airport,Zambia,Balmoral,3967 feet,,,,,,Small Airport,ZM
,,,Baltimore Airport,South Africa,Baltimore,3203 feet,,,,,,Small Airport,ZA
RGH,VEBG,,Balurghat Airport,India,Balurghat,78 feet,25.2616996765,88.7956008911,,,https://en.wikipedia.org/wiki/Balurghat_Airport,Small Airport,IN
ABM,YNPE,,Bamaga Injinoo Airport,Australia,Bamaga,34 feet,-10.9507999420,142.4589996338,,,,Small Airport,AU
,YBMM,,Bamawm Airport,Australia,,,,,,,,Small Airport,AU
,YBBC,,Bamboo Creek Airport,Australia,Bamboo Creek Gold Mine,,,,,,,Small Airport,AU
,YBMY,,Bamyili Airport,Australia,Barunga,215 feet,,,,,,Small Airport,AU
,WA16,WA16,Banas Field,United States,Brooklyn,180 feet,,,,,,Small Airport,US
,VI76,,Band Tal Airport,India,,790 feet,,,,,,Small Airport,IN
NDA,WAPC,,Bandanaira Airport,Indonesia,Bandanaira,59 feet,-4.5333299637,129.8999938965,,,https://en.wikipedia.org/wiki/Bandanaira_Airport,Small Airport,ID
,WIPD,,Banding Agung Airport,Indonesia,Pasar Bandingagung,2100 feet,,,,,,Small Airport,ID
,VTBT,,Bang Phra Airport,Thailand,Bang Phra,90 feet,,,,,,Small Airport,TH
,YBJW,,Banjawarn Airport,Australia,,,,,,,,Small Airport,AU
,YBNC,,Bannockburn Airport,Australia,,,,,,,,Small Airport,AU
,FLBP,,Baobab Plains Airfield,Zambia,Livingstone,2989 feet,,,,,,Small Airport,ZM
,,,Bapsfontein Airport,South Africa,Bapsfontein,5292 feet,,,,,,Small Airport,ZA
,YBAD,,Baradine Airport,Australia,,998 feet,,,,,,Small Airport,AU
,FASY,,Baragwanath Airfield,South Africa,Hiltonia,5420 feet,,,,,,Small Airport,ZA
,YBAB,,Baralaba,Australia,Baralaba,340 feet,,,,,,Small Airport,AU
,WA07,WA07,Barker Airport,United States,Mount Vernon,5 feet,,,,,,Small Airport,US
,YBKS,,Barkly Wayside Inn Airport,Australia,,,,,,,,Small Airport,AU
,,,Barkly West Airport,South Africa,Barkly West,3800 feet,,,,,,Small Airport,ZA
,YBMR,,Barmera Airport,Australia,,,,,,,,Small Airport,AU
,YBBA,,Barraba Airport,Australia,,,,,,,,Small Airport,AU
,VEPI,,Barrackpore Air Force Station,India,Barrackpore,18 feet,,,,,,Small Airport,IN
,YBDX,,Barradale Airport,Australia,,,,,,,,Small Airport,AU
,,,Barrange Airport,South Africa,Barrange,3300 feet,,,,,,Small Airport,ZA
,YBRC,,Barrow Creek Airport,Australia,,,,,,,,Small Airport,AU
BWB,YBWX,,Barrow Island Airport,Australia,,26 feet,-20.8644008636,115.4059982300,,,https://en.wikipedia.org/wiki/Barrow_Island_Airport,Small Airport,AU
,WS55,WS55,Barten Airport,United States,Sharon,977 feet,,,,,,Small Airport,US
,YBTN,,Barton Siding Airport,Australia,,,,,,,,Small Airport,AU
,,,Bartsrus Airport,South Africa,Hoopstad,4200 feet,,,,,,Small Airport,ZA
,YBRS,,Barwon Heads Airport,Australia,Connewarre,50 feet,,,,,,Small Airport,AU
,YBYL,,Baryulgil Airstrip,Australia,Baryulgil,422 feet,,,,,,Small Airport,AU
BSX,VYPN,,Bassein Airport,Myanmar (Burma),Pathein,20 feet,16.8152008057,94.7798995972,,,https://en.wikipedia.org/wiki/Pathein_Airport,Small Airport,MM
,,,Batavia Airport,South Africa,Batavia,3195 feet,,,,,,Small Airport,ZA
BVW,YBTV,,Batavia Downs Airport,Australia,,,-12.6591997147,142.6750030518,,,https://en.wikipedia.org/wiki/Batavia_Downs_Airport,Small Airport,AU
,YBCR,,Batchelor Airport,Australia,,,,,,,,Small Airport,AU
,,,Bateleur Airport,South Africa,Maselsfontein,3368 feet,,,,,,Small Airport,ZA
BUT,VQBT,,Bathpalathang Airport,Bhutan,Jakar,"8,858 feet",27.5627780000,90.7463890000,,,https://en.wikipedia.org/wiki/Bathpalathang_Airport,Small Airport,BT
,YBHB,,Bathurst Harbour Airport,Australia,Southwest,,,,,,,Small Airport,AU
,,,Batoka Airport,Zambia,Livingstone,2949 feet,,,,,,Small Airport,ZM
,,,Batoka Gorge North Airport,Zambia,Mukuni,2838 feet,,,,,,Small Airport,ZM
,,,Batoka Gorge South Airport,Zimbabwe,Hwange,2805 feet,,,,,,Small Airport,ZW
BXM,WABM,,Batom Airport,Indonesia,Batom,396 feet,-4.1666698456,140.8500061035,,,https://en.wikipedia.org/wiki/Batom_Airport,Small Airport,ID
,YBTS,,Battery Downs Airport,Australia,,,,,,,,Small Airport,AU
,,,Battlefields Airport,South Africa,Dundee,4040 feet,,,,,,Small Airport,ZA
BTW,WAOC,,Batu Licin Airport,Indonesia,Batu Licin,3 feet,-3.4124100208,115.9950027470,,,,Small Airport,ID
,WMAB,,Batu Pahat Airstrip,Malaysia,Batu Pahat,30 feet,,,,,,Small Airport,MY
BUW,WAWB,,Baubau Airport (Betoambari Airport),Indonesia,Bau Bau,164 feet,-5.4868798256,122.5690002441,,,,Small Airport,ID
,YBAH,,Bauhinia Downs Airport,Australia,,,,,,,,Small Airport,AU
,,W29,Bay Bridge Airport,United States,Stevensville,15 feet,,,,,,Small Airport,US
,KY77,KY77,Bayfield County Airport,United States,Iron River,1143 feet,,,,,,Small Airport,US
,,,Baynesfield Estate Airport,South Africa,Atherstone,2772 feet,,,,,,Small Airport,ZA
,YBYW,,Bayswater Airport,Australia,,,,,,,,Small Airport,AU
,WN51,WN51,Bayview Farms Airport,United States,Burlington,6 feet,,,,,,Small Airport,US
,YBEC,,Beacon Airport,Australia,,,,,,,,Small Airport,AU
,VG54,VG54,Bear River Field,United States,McGaheysville,1050 feet,,,,,,Small Airport,US
,WN47,WN47,Bear Valley Skyranch Airport,United States,Mc Cleary,344 feet,,,,,,Small Airport,US
,VI88,,Beas Airport,India,Bhaini,741 feet,,,,,,Small Airport,IN
,YBFT,,Beaufort,Australia,,1300 feet,,,,,,Small Airport,AU
,YBEF,,Beaufort Airport,Australia,,,,,,,,Small Airport,AU
,WN18,WN18,Becker's Landing Airport,United States,Anacortes,155 feet,,,,,,Small Airport,US
,,Y46,Bedford Municipal Airport,United States,Bedford,1201 feet,,,,,,Small Airport,US
,YBCH,,Beechworth Airstrip,Australia,Beechworth,2000 feet,,,,,,Small Airport,AU
,YBEW,,Beechworth Airstrip,Australia,,,,,,,,Small Airport,AU
,,,Beefmaster Airfield,South Africa,Kromellenboog,4044 feet,,,,,,Small Airport,ZA
,YAIR,,Beela Airstrip,Australia,Moree,664 feet,,,,,,Small Airport,AU
,,,Beestekraal Airport,South Africa,Massikier,3200 feet,,,,,,Small Airport,ZA
,VEBA,,Behala Airport,India,Kolkata,10 feet,,,,,,Small Airport,IN
BLG,WBGC,,Belaga Airport,Malaysia,Belaga,130 feet,2.6500000954,113.7669982910,,,https://en.wikipedia.org/wiki/Belaga_Airport,Small Airport,MY
,YELE,,Belele Airport,Australia,,,,,,,,Small Airport,AU
,,,Belingwe Airport,Zimbabwe,Belingwe,,,,,,,Small Airport,ZW
,WN19,WN19,Bell-Aire Airport,United States,Toppenish,768 feet,,,,,,Small Airport,US
