Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
iAero Airways,WQ,SWQ,"Greensboro , North Carolina, United States",Miami ; Phoenix/Mesa,0,SWIFTFLIGHT,,iaeroairways.com (archived),Timothy Rainey ( President ) ; William Garrett ( CFO ) ; Jon Corbi ( CRO ),,,,0,,,,,,,"1997 ( 1997 ) (as Swift Air ); January 1, 2020 ( 2020-01-01 ) (as IAero Airways )",Miami ; Phoenix/Mesa,,,,,https://en.wikipedia.org/wiki/IAero_Airways
IBC Airways,II,CSQ,"Fort Lauderdale, Florida , United States",Miami International Airport,6,CHASQUI,,www .ibcairways .com ; www .flyibcair .com,"Joe Costigan, President",,,,15,,,,,,,1991,Miami International Airport,,,,,https://en.wikipedia.org/wiki/IBC_Airways
Iberia,IB,IBE,"Ciudad Lineal, Madrid , Spain",MadridBarajas Airport,140,IBERIA,,www .iberia .com,Marco Sansavini (President & CEO ),"10,812 (2025)",7.54 billion (2024),"1,027 million (2024)",95,,"Albania: Tirana (TIA)  Tirana International Airport Nn Tereza; Algeria: Algiers (ALG)  Houari Boumediene Airport; Argentina: Buenos Aires (EZE)  Ministro Pistarini International Airport; Austria: Innsbruck (INN)  Innsbruck Airport; Belgium: Brussels (BRU)  Brussels Airport; Brazil: Fortaleza (FOR)  Pinto Martins  Fortaleza International Airport; Toronto: Toronto Pearson International Airport  Resumes 13 June 2026; Chile: Santiago (SCL)  Arturo Merino Bentez International Airport; Colombia: Bogot (BOG)  El Dorado International Airport; Cali: Alfonso Bonilla Aragn International Airport  Terminated; Costa Rica: San Jos (SJO)  Juan Santamara International Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Split: Split Airport  Seasonal; Cuba: Havana (HAV)  Jos Mart International Airport; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Dominican Republic: Santo Domingo (SDQ)  Las Amricas International Airport; Ecuador: Guayaquil (GYE)  Jos Joaqun de Olmedo International Airport; Egypt: Cairo (CAI)  Cairo International Airport; El Salvador: San Salvador (SAL)  El Salvador International Airport; Finland: Rovaniemi (RVN)  Rovaniemi Airport; France: Marseille (MRS)  Marseille Provence Airport; Germany: Dsseldorf (DUS)  Dsseldorf Airport; Greece: Athens (ATH)  Athens International Airport; Guatemala: Guatemala City (GUA)  La Aurora International Airport; Hungary: Budapest (BUD)  Budapest Ferenc Liszt International Airport; India: Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Israel: Tel Aviv (TLV)  Ben Gurion Airport; Italy: Bologna (BLQ)  Bologna Guglielmo Marconi Airport; Cagliari: Cagliari Elmas Airport  Seasonal; Catania: CataniaFontanarossa Airport  Seasonal; Genoa: Genoa Cristoforo Colombo Airport  Seasonal; Olbia: Olbia Costa Smeralda Airport  Seasonal; Palermo: Falcone Borsellino Airport  Seasonal; Japan: Tokyo (NRT)  Narita International Airport; Benghazi: Benina International Airport  Terminated; Mexico: Mexico City (MEX)  Mexico City International Airport; Morocco: Casablanca (CMN)  Mohammed V International Airport; Rabat: RabatSal Airport  Terminated; Nicaragua: Managua (MGA)  Augusto C. Sandino International Airport; Norway: Bergen (BGO)  Bergen Airport, Flesland; Troms: Troms Airport  Seasonal; Panama: Panama City (PTY)  Tocumen International Airport; Paraguay: Asuncin (ASU)  Silvio Pettirossi International Airport; Peru: Lima (LIM)  Jorge Chvez International Airport; Portugal: Funchal (FNC)  Cristiano Ronaldo International Airport; Qatar: Doha (DOH)  Hamad International Airport; Romania: Bucharest (OTP)  Bucharest Henri Coand International Airport; Saint Petersburg: Pulkovo Airport  Terminated; Slovenia: Ljubljana (LJU)  Ljubljana Joe Punik Airport; Senegal: Dakar (DSS)  Blaise Diagne International Airport; Spain: A Corua (LCG)  A Corua Airport; Barcelona: Josep Tarradellas BarcelonaEl Prat Airport  Focus city; Madrid: MadridBarajas Airport  Hub; Murcia: MurciaSan Javier Airport  Airport Closed; Palma de Mallorca: Palma de Mallorca Airport  Terminated; Santiago de Compostela: SantiagoRosala de Castro Airport  Terminated; Sweden: Stockholm (ARN)  Stockholm Arlanda Airport; Switzerland: Geneva (GVA)  Geneva Airport; Turkey: Istanbul (IST)  Istanbul Airport; Thailand: Bangkok (BKK)  Suvarnabhumi Airport; United Kingdom: London (LHR)  Heathrow Airport; San Francisco: San Francisco International Airport  Seasonal; Washington, D.C.: Dulles International Airport  Seasonal; Uruguay: Montevideo (MVD)  Carrasco International Airport; Venezuela: Caracas (CCS)  Simon Bolivar International Airport",Oneworld,Iberia Club ; (Part of the Avios Loyalty program),,,28 June 1927 ( 1927-06-28 ); 14 December 1927 ( 1927-12-14 ),MadridBarajas Airport,,,,,https://en.wikipedia.org/wiki/Iberia_%28airline%29
Iberia Express,I2,IBS,"Timn , Barajas , Madrid , Spain",Madrid,0,IBEREXPRES,,iberiaexpress.com,Fernando Candela ( CEO ),,,,23,,Austria: Vienna (VIE)  Vienna International Airport; Barbados: Bridgetown (BGI)  Grantley Adams International Airport; Belgium: Brussels (BRU)  Brussels Airport; Bulgaria: Burgas (BOJ)  Burgas Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Pula: Pula Airport  Terminated; Split: Split Airport  Seasonal; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Rovaniemi: Rovaniemi Airport  Seasonal Charter; France: Bordeaux (BOD)  BordeauxMrignac Airport; La Rochelle: La Rochellele de R Airport  Terminated; Marseille: Marseille Provence Airport  Seasonal; Montpellier: MontpellierMditerrane Airport  Seasonal; Nantes: Nantes Atlantique Airport  Seasonal; Nice: Nice Cte d'Azur Airport  Seasonal; Perpignan: PerpignanRivesaltes Airport  Seasonal; Rennes: RennesSaint-Jacques Airport  Terminated; Tours: Tours Val de Loire Airport  Begins 6 June 2026; Germany: Berlin (BER)  Berlin Brandenburg Airport; Hanover: Hannover Airport  Terminated; Stuttgart: Stuttgart Airport  Terminated; Greece: Athens (ATH)  Athens International Airport; Corfu: Corfu International Airport  Seasonal; Heraklion: Heraklion International Airport  Seasonal; Rhodes: Rhodes International Airport  Terminated; Santorini: Santorini International Airport  Seasonal; Hungary: Budapest (BUD)  Budapest Ferenc Liszt International Airport; Ireland: Cork (ORK)  Cork Airport; Dublin: Dublin Airport  Hub; Galway: Galway Airport  Airport Closed; Kerry: Kerry Airport  Terminated; Sligo: Sligo Airport  Airport Closed; Waterford: Waterford Airport  Airport Closed; Isle of Man: Ronaldsway (IOM)  Isle of Man Airport; Brindisi: Brindisi Airport  Seasonal; Bologna: Bologna Guglielmo Marconi Airport  Terminated; Catania: CataniaFontanarossa Airport  Seasonal; Naples: Naples International Airport  Seasonal; Pisa: Pisa International Airport  Seasonal; Turin: Turin Airport  Seasonal; Jersey: Jersey (JER)  Jersey Airport; Malta: Valletta (MLA)  Malta International Airport; Mexico: Cancn (CUN)  Cancn International Airport; Marrakesh: Marrakesh Menara Airport  Seasonal; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Eindhoven: Eindhoven Airport  Terminated; Norway: Tromso (TOS)  Tromso Airport; Oslo: Oslo Airport  Seasonal; Poland: Warsaw (WAW)  Warsaw Chopin Airport; Portugal: Faro (FAO)  Faro Airport; Madeira: Madeira Airport  Terminated; Spain: Alicante (ALC)  AlicanteElche Miguel Hernndez Airport; Asturias: Asturias Airport  Seasonal; Fuerteventura: Fuerteventura Airport  Seasonal; Palma de Mallorca: Palma de Mallorca Airport  Seasonal; Santiago de Compostela: SantiagoRosala de Castro Airport  Seasonal; Switzerland: Geneva (GVA)  Geneva Airport; zmir: zmir Adnan Menderes Airport  Seasonal; United Kingdom: Aberdeen (ABZ)  Aberdeen Airport; Blackpool: Blackpool Airport  Airport Closed; Bournemouth: Bournemouth Airport  Terminated; Derry: City of Derry Airport  Terminated; Doncaster / Sheffield: Doncaster Sheffield Airport  Airport Closed; London: Gatwick Airport  Terminated; Manchester: Manchester Barton Aerodrome  Terminated; Newquay: Newquay Airport  Seasonal; Teesside: Teesside International Airport  Terminated; Denver: Denver International Airport  Seasonal; Las Vegas: Harry Reid International Airport  Seasonal; Miami: Miami International Airport  Seasonal,Oneworld (affiliate),,,,October 2011 ( 2011-10 ); 25 March 2012 ( 2012-03-25 ),Madrid,,,,,https://en.wikipedia.org/wiki/Iberia_Express
Iberojet,E9,EVE,"Palma de Mallorca , Spain ; Lisbon , Portugal",Lisbon ; Madrid,9,EVELOP,,www .iberojet .com,,,,,7,,Costa Rica: San Jos (SJO)  Juan Santamara International Airport; Colombia: Bogot (BOG)  El Dorado International Airport; Santa Clara: Abel Santamara Airport  Terminated; Varadero: Juan Gualberto Gmez Airport  Terminated; Dominican Republic: Punta Cana (PUJ)  Punta Cana International Airport; Honduras: Tegucigalpa (XPL)  Comayagua International Airport; Mauritius: Port Louis (MRU)  Sir Seewoosagur Ramgoolam International Airport; Mexico: Cancun (CUN)  Cancn International Airport; San Jos del Cabo: Los Cabos International Airport  Terminated; Panama: Panama City (PTY)  Tocumen International Airport; Portugal: Lisbon (LIS)  Lisbon Airport; Spain: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; Madrid: MadridBarajas Airport  Base; Thailand: Bangkok (BKK)  Suvarnabhumi Airport; Urgench: Urgench International Airport  Terminated,,,,,2013 ( 2013 ) (as Evelop Airlines ); 2020 ( 2020 ) (as Iberojet ),Lisbon ; Madrid,,,,,https://en.wikipedia.org/wiki/Iberojet_%28airline%29
Ibex Airlines,FW,IBX,"Sendai , Miyagi, Japan",NagoyaCentrair ; Sendai,2,IBEX,,www .ibexair .co .jp,Takao Asai ( President ),,,,9,,Fukuoka (FUK)  Fukuoka Airport; Fukushima (FKS)  Fukushima Airport; Hiroshima (HIJ)  Hiroshima Airport; Kagoshima (KOJ)  Kagoshima Airport; Nagoya (NGO)  Chubu Centrair International Airport; Niigata (KIJ)  Niigata Airport; ita (OIT)  Oita Airport; Osaka (ITM)  Itami Airport; Sapporo (CTS)  New Chitose Airport; Sendai (SDJ)  Sendai Airport,,,,,"January 29, 1999 ( 1999-01-29 ) (as Fair ); August 7, 2000 ( 2000-08-07 ) (as Fair ) ; October 1, 2004 ( 2004-10-01 ) (as Ibex Airlines )",NagoyaCentrair ; Sendai,,,,,https://en.wikipedia.org/wiki/Ibex_Airlines
Ibom Air,Z4,IAN,,"Akwa Ibom Airport; Uyo , Lagos , Abuja , Calabar , Enugu , Port Harcourt , Accra, Ghana",0,IBOM,,www .ibomair .com,,,,,8,,Ghana: Accra (ACC)  Accra International Airport; Nigeria: Abuja (ABV)  Nnamdi Azikiwe International Airport; Calabar: Margaret Ekpo International Airport  Local; Enugu: Akanu Ibiam International Airport  Local; Lagos: Murtala Muhammed International Airport  Focus city; Port Harcourt: Port Harcourt International Airport  Local; Uyo: Victor Attah International Airport  Hub,,Ibom Flyer,,,2019; 7 June 2019 ( 2019-06-07 ),"Akwa Ibom Airport; Uyo , Lagos , Abuja , Calabar , Enugu , Port Harcourt , Accra, Ghana",,,,,https://en.wikipedia.org/wiki/Ibom_Air
Icelandair,FI,ICE,"Hafnarfjrur , Iceland",Keflavk International Airport; Reykjavk Airport,68,ICEAIR,,www .icelandair .com,Bogi Nils Bogason (CEO),"3,638 (2023)",$ 1.524 billion (2023),$ 11 million (2023),45,,"Austria: Innsbruck (INN)  Innsbruck Airport; Salzburg: Salzburg Airport  Seasonal; Vienna: Vienna International Airport  Terminated; Belgium: Brussels (BRU)  Brussels Airport; Lige: Lige Airport  Cargo; Ostend: OstendBruges International Airport  Terminated; Halifax: Halifax Stanfield International Airport  Seasonal; Montral: MontralTrudeau International Airport  Terminated; Toronto: Toronto Pearson International Airport  Passenger; Vancouver: Vancouver International Airport  Passenger; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; Denmark: Billund (BLL)  Billund Airport; Copenhagen: Copenhagen Airport  Passenger; Faroe Islands: Srvgur (FAE)  Vgar Airport; Finland: Helsinki (HEL)  Helsinki Airport; France: Nice (NCE)  Nice Cte d'Azur Airport; Paris: Charles de Gaulle Airport  Passenger; Germany: Berlin (BER)  Berlin Brandenburg Airport; Dsseldorf: Dsseldorf Airport  Terminated; Frankfurt: Frankfurt Airport  Passenger; Hamburg: Hamburg Airport  Seasonal; Munich: Munich Airport  Passenger; Greenland: Ilulissat (JAV)  Ilulissat Airport; Kulusuk: Kulusuk Airport  Seasonal; Narsarsuaq: Narsarsuaq Airport  Airport closed; Nuuk: Nuuk Airport  Passenger; Qaqortoq: Qaqortoq Airport  Seasonal; Iceland: Akureyri (AEY)  Akureyri Airport; Bldudalur: Bldudalur Airport  Terminated; Blndus: Blndus Airport  Terminated; Egilsstair: Egilsstair Airport  Passenger; Fagurhlsmri: Fagurhlmri Airport  Terminated; Fskrusfjrur: Fskursfjrur Airport  Terminated; Grmsey: Grmsey Airport  Terminated; Hella: Hella Airport  Terminated; Hellissandur: Rif Airport  Terminated; Hlmavk: Hlmavk Airport  Terminated; Hsavk: Hsavk Airport  Terminated; Hfn: Hornafjrur Airport  Passenger; safjrur: safjrur Airport  Passenger; Kirkjubjarklaustur: Kirkjubjarklaustur Airport  Terminated; Kpasker: Kpasker Airport  Terminated; Neskaupstaur: Norfjrur Airport  Terminated; Patreksfjrur: Patreksfjrur Airport  Terminated; Raufarhfn: Raufarhfn Airport  Terminated; Reykjavk: Keflavk International Airport  Hub; Saurkrkur: Saurkrkur Airport  Terminated; Siglufjrur: Siglufjrur Airport  Terminated; Skgar: Skgarsandur Airport  Terminated; Vestmannaeyjar: Vestmannaeyjar Airport  Seasonal; ingeyri: ingeyri Airport  Terminated; rshfn: rshfn Airport  Terminated; Ireland: Dublin (DUB)  Dublin Airport; Italy: Milan (MXP)  Milan Malpensa Airport; Rome: Leonardo da VinciFiumicino Airport  Passenger; Venice: Venice Marco Polo Airport  Seasonal; Verona: Verona Villafranca Airport  Seasonal; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Norway: Bergen (BGO)  Bergen Airport, Flesland; Oslo: Oslo Airport, Gardermoen  Passenger; Stavanger: Stavanger Airport  Terminated; Trondheim: Trondheim Airport  Terminated; Portugal: Lisbon (LIS)  Lisbon Airport; Spain: Alicante (ALC)  AlicanteElche Miguel Hernndez Airport; Barcelona: Josep Tarradellas BarcelonaEl Prat Airport  Passenger; Las Palmas: Gran Canaria Airport  Seasonal; Madrid: MadridBarajas Airport  Terminated; Mlaga: Mlaga Airport  Passenger; Tenerife: Tenerife South Airport  Passenger; Sweden: Gothenburg (GOT)  Gteborg Landvetter Airport; Stockholm: Stockholm Arlanda Airport  Passenger; Switzerland: Geneva (GVA)  Geneva Airport; Zrich: Zurich Airport  Passenger; Turkey: Istanbul (IST)  Istanbul Airport; Belfast: George Best Belfast City Airport  Terminated; Birmingham: Birmingham Airport  Terminated; East Midlands: East Midlands Airport  Terminated; Edinburgh: Edinburgh Airport  Passenger; Glasgow: Glasgow Airport  Passenger; London: Gatwick Airport  Passenger; Manchester: Manchester Airport  Passenger; Baltimore: Baltimore/Washington International Airport  Passenger; Boston: Logan International Airport  Passenger; Chicago: O'Hare International Airport  Passenger; Cleveland: Cleveland Hopkins International Airport  Terminated; Dallas: Dallas Fort Worth International Airport  Terminated; Denver: Denver International Airport  Passenger; Detroit: Detroit Metropolitan Airport  Seasonal; Fort Lauderdale: Fort LauderdaleHollywood International Airport  Terminated; Kansas City: Kansas City International Airport  Terminated; Miami: Miami International Airport  Seasonal; Minneapolis: MinneapolisSaint Paul International Airport  Passenger; Nashville: Nashville International Airport  Seasonal; New York City: John F. Kennedy International Airport  Passenger; Newark: Newark Liberty International Airport  Passenger; Orlando: Orlando International Airport  Passenger; Philadelphia: Philadelphia International Airport  Terminated; Pittsburgh: Pittsburgh International Airport  Seasonal; Portland (OR): Portland International Airport  Seasonal; Raleigh: RaleighDurham International Airport  Passenger; San Francisco: San Francisco International Airport  Terminated; Seattle: SeattleTacoma International Airport  Passenger; Tampa: Tampa International Airport  Terminated; Washington, D.C.: Dulles International Airport  Passenger",,Saga Club,,,3 June 1937 ( 1937-06-03 ),Keflavk International Airport; Reykjavk Airport,,,,,https://en.wikipedia.org/wiki/Icelandair
Ikar,EO,KAR,"Orenburg , Russia",Orenburg Tsentralny Airport,39,IKAR,,ikar.aero,"Andrey Lengarov, CEO",,,,6,,,,,,,15 June 1993 ( 1993-06-15 ) (as Ikar ),Orenburg Tsentralny Airport,,,,,https://en.wikipedia.org/wiki/Ikar_%28airline%29
Iliamna Air Taxi,V8,IAR,,,5,ILIAMNA AIR,,,,,,,12,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Iliamna_Airport
Indian Air Force,-,IFC,"Vayu Sena Bhawan, Motilal Nehru Marg, New Delhi .",,0,,,indianairforce .nic .in,,,,,217,,,,,,,26 January 1950 ( 1950-01-26 ) ( as current service ) 8 October 1932 ( 1932-10-08 ) ( as Royal Indian Air Force ),,,,,,https://en.wikipedia.org/wiki/Indian_Air_Force
IndiGo,6E,IGO,"Gurgaon , Haryana, India",Chhatrapati Shivaji Maharaj International Airport ( Mumbai ) ; Chennai International Airport ( Chennai ) ; Cochin International Airport ( Kochi ) ; Indira Gandhi International Airport (Delhi) ; Kempegowda International Airport ( Bengaluru ) ; Netaji Subhas Chandra Bose International Airport ( Kolkata ) ; Rajiv Gandhi International Airport ( Hyderabad ); Indira Gandhi International Airport (Delhi),144,IFLY,,www .goindigo .in,Rahul Bhatia ( MD & interim CEO) ; William Walsh (CEO-designated),"37,300 (2024)", 841 billion (US$8.8 billion) (2025), 72.58 billion (US$760 million) (2025),382,,Azerbaijan: Baku (GYD)  Heydar Aliyev International Airport; Bahrain: Bahrain (BAH)  Bahrain International Airport; Bangladesh: Dhaka (DAC)  Hazrat Shahjalal International Airport; Cambodia: Siem Reap (SAI)  Siem ReapAngkor International Airport; Georgia: Tbilisi (TBS)  Shota Rustaveli Tbilisi International Airport; Greece: Athens (ATH)  Athens International Airport; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport; India ( Andaman and Nicobar Islands ): Sri Vijaya Puram (Port Blair) (IXZ)  Veer Savarkar International Airport; India ( Andhra Pradesh ): Kadapa (CDP)  Kadapa Airport; India ( Arunachal Pradesh ): Itanagar (HGI)  Itanagar Airport; India ( Assam ): Dibrugarh (DIB)  Dibrugarh Airport; Guwahati: Lokpriya Gopinath Bordoloi International Airport  Base; India ( Bihar ): Darbhanga (DBR)  Darbhanga Airport; India ( Chandigarh ): Chandigarh (IXC)  Shaheed Bhagat Singh International Airport; India ( Chhattisgarh ): Jagdalpur (JGB)  Jagdalpur Airport; India ( Dadra and Nagar Haveli and Daman and Diu ): Diu (DIU)  Diu Airport; India ( Delhi ): Delhi (DEL)  Indira Gandhi International Airport; India ( Goa ): Mopa (GOX)  Manohar International Airport; Panaji: Dabolim Airport  Base; India ( Gujarat ): Ahmedabad (AMD)  Sardar Vallabhbhai Patel International Airport; Rajkot: Rajkot Airport  Airport Closed; India ( Himachal Pradesh ): Dharamshala (DHM)  Kangra Airport; India ( Jammu and Kashmir ): Jammu (IXJ)  Jammu Airport; India ( Jharkhand ): Deoghar (DGH)  Deoghar Airport; India ( Karnataka ): Bengaluru (BLR)  Kempegowda International Airport; India ( Kerala ): Kannur (CNN)  Kannur International Airport; Kochi: Cochin International Airport  Base; India ( Ladakh ): Leh (IXL)  Kushok Bakula Rimpochee Airport; India ( Lakshadweep ): Agatti (AGX)  Agatti Airport; India ( Madhya Pradesh ): Bhopal (BHO)  Raja Bhoj Airport; Indore: Devi Ahilya Bai Holkar Airport  Hub; India ( Maharashtra ): Aurangabad (IXU)  Aurangabad Airport; Mumbai: Chhatrapati Shivaji Maharaj International Airport  Base; Pune: Pune Airport  Base; India ( Manipur ): Imphal (IMF)  Imphal Airport; India ( Meghalaya ): Shillong (SHL)  Shillong Airport; India ( Mizoram ): Aizawl (AJL)  Lengpui Airport; India ( Nagaland ): Dimapur (DMU)  Dimapur Airport; India ( Odisha ): Bhubaneswar (BBI)  Biju Patnaik Airport; India ( Puducherry ): Pondicherry (PNY)  Pondicherry Airport; India ( Punjab ): Amritsar (ATQ)  Sri Guru Ram Das Ji International Airport; India ( Rajasthan ): Ajmer (KQH)  Kishangarh Airport; Jaipur: Jaipur International Airport  Base; India ( Tamil Nadu ): Chennai (MAA)  Chennai International Airport; India ( Telangana ): Hyderabad (HYD)  Rajiv Gandhi International Airport; India ( Tripura ): Agartala (IXA)  Maharaja Bir Bikram Airport; India ( Uttarakhand ): Dehradun (DED)  Dehradun Airport; India ( Uttar Pradesh ): Agra (AGR)  Agra Airport; Lucknow: Chaudhary Charan Singh International Airport  Base; Noida: Noida International Airport  Begins 15 June 2026; India ( West Bengal ): Durgapur (RDP)  Kazi Nazrul Islam Airport; Kolkata: Netaji Subhas Chandra Bose International Airport  Base; Indonesia: Denpasar (DPS)  Ngurah Rai International Airport; Kazakhstan: Almaty (ALA)  Almaty International Airport; Kenya: Nairobi (NBO)  Jomo Kenyatta International Airport; Kuwait: Kuwait City (KWI)  Kuwait International Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Maldives: Mal (MLE)  Velana International Airport; Mauritius: Plaine Magnien (MRU)  Sir Seewoosagur Ramgoolam International Airport; Nepal: Kathmandu (KTM)  Tribhuvan International Airport; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Oman: Muscat (MCT)  Muscat International Airport; Qatar: Doha (DOH)  Hamad International Airport; Runion: Sainte-Marie (RUN)  Roland Garros Airport; Saudi Arabia: Dammam (DMM)  King Fahd International Airport; Seychelles: Mah (SEZ)  Seychelles International Airport; Singapore: Singapore (SIN)  Changi Airport; Sri Lanka: Colombo (CMB)  Bandaranaike International Airport; Thailand: Bangkok (BKK)  Suvarnabhumi Airport; Turkey: Istanbul (IST)  Istanbul Airport; United Arab Emirates: Abu Dhabi (AUH)  Zayed International Airport; Dubai: Dubai International Airport  Base; United Kingdom: London (LHR)  Heathrow Airport; Uzbekistan: Tashkent (TAS)  Islam Karimov Tashkent International Airport; Vietnam: Hanoi (HAN)  Noi Bai International Airport,,BluChip,,,2005 ( 2005 ); 4 August 2006 ( 2006-08-04 ),Chhatrapati Shivaji Maharaj International Airport ( Mumbai ) ; Chennai International Airport ( Chennai ) ; Cochin International Airport ( Kochi ) ; Indira Gandhi International Airport (Delhi) ; Kempegowda International Airport ( Bengaluru ) ; Netaji Subhas Chandra Bose International Airport ( Kolkata ) ; Rajiv Gandhi International Airport ( Hyderabad ); Indira Gandhi International Airport (Delhi),,,,,https://en.wikipedia.org/wiki/IndiGo
Indonesia Air Transport,I8,IDA,"Jakarta , Indonesia",Halim Perdanakusuma International Airport,6,INTRA,,www .indonesia-air .com,,,,,0,,Sydney: Sydney Airport  Terminated; Bandung: Husein Sastranegara Airport  Terminated; Bontang: PT Badak Bontang Airport  Terminated; Jakarta: Halim Perdanakusuma International Airport  Hub; Ketapang: Rahadi Oesman Airport  Terminated; Lombok: Lombok International Airport  Terminated; Medan: Kualanamu International Airport  Terminated; Padang: Minangkabau International Airport  Terminated; Palembang: Sultan Mahmud Badaruddin II International Airport  Terminated; Pangkalan Bun: Iskandar Airport  Terminated; Pekanbaru: Sultan Syarif Kasim II International Airport  Terminated; Pontianak: Supadio International Airport  Terminated; Sintang: Tebelian Airport  Terminated; Surakarta: Adisoemarmo International Airport  Terminated,,,,,1968 ( 1968 ),Halim Perdanakusuma International Airport,,,,,https://en.wikipedia.org/wiki/Indonesia_Air_Transport
