Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
CommutAir,N16183,Embraer 135/145 (145XR),914,Update,Parked since 09/2021
CommutAir,N11191,Embraer 135/145 (145XR),935,Update,Back in service 10/2021
CommutAir,N11193,Embraer 135/145 (145XR),938,Update,Parked since 10/2021
Congo Airways,9S-AKD,Airbus A320 (320-216),3412,Update,Parked since 09/2021
Contour Aviation,N16501,Embraer 135/145 (135LR),145,Update,Back in service 11/2021
Contour Aviation,N16511,Embraer 135/145 (135LR),267,Update,Back in service 11/2021
COPA Airlines,HP-1712CMP,Boeing 737 NG / Max (737-8V3),40664 (3267),Update,Back in service 11/2021
COPA Airlines,HP-1713CMP,Boeing 737 NG / Max (737-8V3),40890 (3455),Delete,To Wingo as HP-1713CMP 27/10/2021
Corendon Air,TC-TJN,Boeing 737 NG / Max (737-85P),28535 (480),Delete,To Air Incheon as HL8503 22/10/2021
Corendon Air,OM-GTH,Boeing 737 NG / Max (737-8BK),29644 (2231),Delete,To Go2Sky Airline as OM-GTH 01/09/2021
Corsair,F-HKYS,Airbus A330 (330-941),1992,New,Delivery 17/11/2021
Coulson Flying Tankers,N138CG,Boeing 737 (737-3H4),27928 (2742),Update,Parked since 10/2021
CSA,OK-REQ,Airbus A319 (319-112),4713,Update,Back in service 10/2021
Cyprus Airways,5B-DCW,Airbus A319 (319-114),1129,Delete,Stored 11/2021 - To be scrapped
Dalian Airlines,B-5639,Boeing 737 NG / Max (737-89L),40033 (4004),Update,Parked since 09/2021
Dalian Airlines,B-7891,Boeing 737 NG / Max (737-89L),43418 (6177),Update,Parked since 09/2021
Dalian Airlines,B-1210,Boeing 737 NG / Max (737-89L),60881 (6737),Update,Parked since 09/2021
Dan Air,YR-URS,Airbus A319 (319-132),3614,New,Delivery 01/10/2021 Ex Just Us Air YR-URS
Danish Air Transport,OY-RUE,Douglas MD-80/90 (MD-83),49936 (1778),Update,Stored 10/2021
Danu Oro Transportas,LY-DAT,ATR 42/72 (42-500),445,Update,Parked since 09/2021
Deer Jet,B-6435,Airbus A319 (319-133X(CJ)),4428,Update,Parked since 09/2021
Delta Air Lines,N334NB,Airbus A319 (319-114),1659,Update,Back in service 11/2021
Delta Air Lines,N356NW,Airbus A320 (320-212),818,Update,Back in service 11/2021
Delta Air Lines,N358NW,Airbus A320 (320-212),832,Update,Parked since 10/2021
Delta Air Lines,N365NW,Airbus A320 (320-212),964,Update,Back in service 10/2021
Delta Air Lines,N366NW,Airbus A320 (320-212),981,Update,Parked since 10/2021
Delta Air Lines,N126DN,Airbus A321 (321-211),10297,New,Delivery 29/10/2021
Delta Air Lines,N128DN,Airbus A321 (321-211),10300,New,Delivery 05/11/2021
Delta Air Lines,N573DZ,Airbus A350 (350-941),250,On order,Reg  now known
Delta Air Lines,N3762Y,Boeing 737 NG / Max (737-832),30817 (968),Update,Parked since 10/2021
Delta Air Lines,N932DS,Boeing 737 NG / Max (737-9GPER)37290 (3918),New,Delivery 01/11/2021,
Delta Air Lines,N678DL,Boeing 757 (757-232),25983 (465),Update,Back in service 11/2021
Delta Air Lines,N539US,Boeing 757 (757-251),26486 (700),Update,Parked since 10/2021
Delta Air Lines,N6716C,Boeing 757 (757-232),30838 (955),Update,Back in service 11/2021
Delta Air Lines,N823DX,Boeing 757 (757-26D),33967 (1050),Update,Back in service 11/2021
Delta Air Lines,N187DN,Boeing 767 (767-332ER),27582 (617),Update,Back in service 12/2021
Delta Air Lines,N172DZ,Boeing 767 (767-332ER),29691 (719),Update,Parked since 10/2021
Delta Air Lines,N173DZ,Boeing 767 (767-332ER),29692 (723),Update,Parked since 10/2021
DHL Air,G-DHKB,Boeing 757 (757-256PCF),29312 (943),Delete,To DHL Air Austria as OE-LNJ 02/11/2021
DHL Air Austria,OE-LNJ,Boeing 757 (757-256PCF),29312 (943),New,Delivery 02/11/2021  Ex DHL Air G-DHKB
Dow Chemical,N870DC,Canadair RJ (CRJ-700),10314,Update,Back in service 11/2021
Dubai Air Wing,A6-HMM,Boeing 747 (747-48EM),28551 (1131),Update,Parked since 09/2021
East-West Express,UR-CRU,Airbus A319 (319-114),639,Update,Parked since 09/2021
Eastern Airlines,N705KW,Boeing 767 (767-336ER),24342 (363),Update,Parked since 09/2021
Eastern Airlines,N827KW,Boeing 777 (777-212ER),28525 (353),New,Delivery 05/11/2021  Ex Singapore Airlines 9V-SVB
Eastern Airways,G-CGMC,Embraer 135/145 (135ER),198,Update,Parked since 10/2021
Eastern Airways,G-CDKA,Saab 2000 (2000),6,Delete,To ACE Air Charter Express as N506FR 27/10/2021
Eastern Australia,VH-TQL,Dash 8 (DHC-8 315),603,Update,Back in service 11/2021
EasyJet,G-EZAO,Airbus A319 (319-111),2769,Update,Back in service 11/2021
EasyJet,G-EZAV,Airbus A319 (319-111),2803,Update,Parked since 10/2021
EasyJet,G-EZAY,Airbus A319 (319-111),2827,Update,Parked since 10/2021
EasyJet,G-EZBH,Airbus A319 (319-111),2959,Update,Back in service 11/2021
EasyJet,G-EZBI,Airbus A319 (319-111),3003,Update,Parked since 10/2021
EasyJet,G-EZBT,Airbus A319 (319-111),3090,Update,Parked since 10/2021
EasyJet,G-EZBW,Airbus A319 (319-111),3134,Update,Parked since 09/2021
EasyJet,G-EZBY,Airbus A319 (319-111),3176,Update,Back in service 11/2021
EasyJet,G-EZDD,Airbus A319 (319-111),3442,Update,Parked since 10/2021
EasyJet,G-EZDH,Airbus A319 (319-111),3466,Update,Parked since 10/2021
EasyJet,G-EZGN,Airbus A319 (319-111),4781,Update,Parked since 09/2021
EasyJet,G-EZTM,Airbus A320 (320-214),4014,Update,Back in service 10/2021
EasyJet,G-EZWG,Airbus A320 (320-214),5318,Delete,To EasyJet Europe as OE-ICL 03/11/2021
EasyJet,G-EZWF,Airbus A320 (320-214),5319,Delete,To EasyJet Europe as OE-ICN 03/11/2021
EasyJet Europe,OE-ICL,Airbus A320 (320-214),5318,New,Delivery 03/11/2021  Ex EasyJet G-EZWG
EasyJet Europe,OE-ICN,Airbus A320 (320-214),5319,New,Delivery 03/11/2021  Ex EasyJet G-EZWF
EasyJet Switzerland,HB-AYN,Airbus A320 (320-251N),10102,New,Delivery 18/11/2021
EasyJet Switzerland,HB-AYE,Airbus A320 (320-251N),10114,New,Delivery 08/11/2021
EAT Leipzig,D-AEAP,Airbus A300 (300-622RF),724,Update,Back in service 10/2021
Egyptair,SU-GDE,Boeing 737 NG / Max (737-866),35569 (3043),Update,Back in service 11/2021
El Al Israel Airlines,4X-EKA,Boeing 737 NG / Max (737-858),29957 (204),Update,Parked since 09/2021
El Al Israel Airlines,4X-EKU,Boeing 737 NG / Max (737-8Z9),33834 (1938),Update,Parked since 09/2021
El Al Israel Airlines,N487MC,Boeing 747 (747-45EFSCD),30609 (1309),Delete,To Atlas Air as N487MC 06/01/2021
Emirates,A6-EEA,Airbus A380 (380-861),108,Update,Back in service 11/2021
Emirates,A6-EED,Airbus A380 (380-861),111,Update,Back in service 11/2021
Emirates,A6-EEN,Airbus A380 (380-861),135,Update,Back in service 10/2021
Emirates,A6-EES,Airbus A380 (380-861),140,Update,Parked since 10/2021
Emirates,A6-EEX,Airbus A380 (380-861),154,Update,Back in service 11/2021
Emirates,A6-EOB,Airbus A380 (380-861),164,Update,Parked since 10/2021
Emirates,A6-EUE,Airbus A380 (380-861),217,Update,Back in service 11/2021
Emirates,A6-EUH,Airbus A380 (380-861),220,Update,Back in service 11/2021
Emirates,A6-EUL,Airbus A380 (380-861),224,Update,Back in service 10/2021
Emirates,A6-EUQ,Airbus A380 (380-842),229,Update,Parked since 09/2021
Emirates,A6-ECF,Boeing 777 (777-31HER),35574 (690),Update,Back in service 11/2021
Endeavor Air,N331CA,Canadair RJ (CRJ-700),10061,Update,Parked since 10/2021
Endeavor Air,N340CA,Canadair RJ (CRJ-700),10062,Update,Parked since 10/2021
Endeavor Air,N904XJ,Canadair RJ (CRJ-900),15135,Update,Back in service 11/2021
Endeavor Air,N905XJ,Canadair RJ (CRJ-900),15137,Update,Parked since 09/2021
Endeavor Air,N600LR,Canadair RJ (CRJ-900),15142,Update,Parked since 09/2021
Endeavor Air,N932XJ,Canadair RJ (CRJ-900),15194,Update,Back in service 11/2021
Endeavor Air,N200PQ,Canadair RJ (CRJ-900LR),15200,Update,Back in service 11/2021
Endeavor Air,N8683B,Canadair RJ (CRJ-200LR),7683,Update,Parked since 09/2021
Endeavor Air,N8783E,Canadair RJ (CRJ-440),7783,Update,Parked since 09/2021
Envoy,N763CC,Embraer 170/175 (170SU),300,New,Delivery 20/10/2021
Etihad Airways,A6-EIC,Airbus A320 (320-232),2167,Update,Parked since 09/2021
Etihad Airways,A6-EIK,Airbus A320 (320-232),3676,Update,Back in service 11/2021
Etihad Airways,A6-EIH,Airbus A320 (320-232),3693,Update,Parked since 10/2021
Etihad Airways,A6-EIL,Airbus A320 (320-232),4066,Update,Back in service 11/2021
Etihad Airways,A6-EIY,Airbus A320 (320-232),6226,Update,Parked since 10/2021
Etihad Airways,A6-EJA,Airbus A320 (320-232),6527,Update,Parked since 10/2021
Etihad Airways,A6-AEA,Airbus A321 (321-231),5836,Update,Parked since 09/2021
Etihad Airways,A6-AEG,Airbus A321 (321-231),6731,Update,Back in service 10/2021
Etihad Airways,A6-ETB,Boeing 777 (777-3FXER),34598 (543),Update,Parked since 09/2021
Euro-Asia,UP-C8503,Canadair RJ (CRJ-200),8093,Update,Parked since 10/2021
Eurowings,D-AKNT,Airbus A319 (319-112),2607,Update,Back in service 10/2021
Eurowings,D-AKNV,Airbus A319 (319-112),2632,Update,Back in service 10/2021
Eurowings,D-AEUD,Airbus A320 (320-214),3908,Delete,To Eurowings Europe as D-AEUD 13/09/2021
Eurowings,D-AEUE,Airbus A320 (320-214),4161,Delete,To Eurowings Europe as D-AEUE 04/10/2021
Eurowings,D-AEUH,Airbus A320 (320-214),4329,Delete,To Eurowings Europe as D-AEUH 20/09/2021
Eurowings,D-ABFP,Airbus A320 (320-214),4606,Update,Back in service 10/2021
Eurowings Discover,D-AIUW,Airbus A320 (320-214),7251,New,Delivery 06/11/2021
Eurowings Discover,D-AIKB,Airbus A330 (330-343X),576,New,Delivery 31/10/2021
Eurowings Discover,D-AIKH,Airbus A330 (330-343X),648,New,Delivery 01/11/2021
Eurowings Europe,D-AEUD,Airbus A320 (320-214),3908,New,Delivery 13/09/2021  Ex Eurowings D-AEUD
Eurowings Europe,D-AEUE,Airbus A320 (320-214),4161,New,Delivery 04/10/2021  Ex Eurowings D-AEUE
Eurowings Europe,D-AEUH,Airbus A320 (320-214),4329,New,Delivery 20/09/2021  Ex Eurowings D-AEUH
EVA Air,B-55411,Airbus A318 (318-112CJ),3886,Update,Back in service 11/2021
EVA Air,B-16206,Airbus A321 (321-211),5808,Update,Back in service 10/2021
EVA Air,B-16208,Airbus A321 (321-211),6024,Update,Back in service 11/2021
EVA Air,B-16211,Airbus A321 (321-211),6179,Update,Back in service 11/2021
EVA Air,B-16227,Airbus A321 (321-211),7344,Update,Back in service 10/2021
Everts Air,N568SW,Embraer 120 Brasilia (120ER),343,Update,Parked since 10/2021
EWM Investments,N900EM,Embraer 135/145 (135BJ),976,Update,Parked since 10/2021
Express Air Cargo,TS-ICB,Boeing 737 (737-3G7F),24710 (1825),Update,Back in service 10/2021
Expressjet,N844HK,Embraer 135/145 (145LR),838,Update,Correct operator
Expressjet,N846HK,Embraer 135/145 (145LR),855,New,Delivery 04/10/2021  Ex Trans States Airlines N846HK
Eznis Airways,EI-GVW,Boeing 737 NG / Max (737-7K2),38127 (3632),Update,Parked since 10/2021
Federal Express,N733FD,Airbus A300 (300-605RF),715,Update,Parked since 10/2021
Federal Express,N682FE,Airbus A300 (300-605RF),800,Update,Back in service 10/2021
Federal Express,N901FX,ATR 42/72 (42-320F),172,Update,Parked since 10/2021
Federal Express,N903FX,ATR 42/72 (42-320F),179,Update,Parked since 10/2021
Federal Express,N936FD,Boeing 757 (757-2T7SF),23293 (56),Update,Back in service 10/2021
Federal Express,N978FD,Boeing 757 (757-236SF),24119 (167),Update,Parked since 10/2021
Federal Express,N918FD,Boeing 757 (757-23ASF),24290 (212),Update,Parked since 10/2021
Federal Express,N914FD,Boeing 757 (757-28ASF),24367 (208),Update,Parked since 10/2021
Federal Express,N985FD,Boeing 757 (757-230SF),24737 (267),Update,Back in service 10/2021
Federal Express,N775FD,Boeing 757 (757-222SF),25043 (353),Update,Parked since 10/2021
Federal Express,N848FD,Boeing 777 (777-F),66258 (1705),New,Delivery 26/10/2021
Federal Express,N307FE,Douglas DC-10 (MD10-30F),48291 (412),Update,Back in service 10/2021
Federal Express,N522FE,Douglas MD-11 (MD-11 F),48476 (510),Update,Parked since 10/2021
Federal Express,N587FE,Douglas MD-11 (MD-11 F),48489 (492),Update,Parked since 10/2021
Fiji Airways,DQ-FJV,Airbus A330 (330-243),1465,Update,Back in service 10/2021
Fiji Airways,DQ-FAD,Boeing 737 NG / Max (737-8MAX) 64308 (7313),Update,Back in service 10/2021,
Finnair,OH-LVC,Airbus A319 (319-112),1309,Update,Back in service 11/2021
Finnair,OH-LZM,Airbus A321 (321-231),7552,Update,Back in service 10/2021
Finnair,OH-LZN,Airbus A321 (321-231),7570,Update,Back in service 11/2021
Firefly,9M-FYF,ATR 42/72 (72-212A),860,Update,Back in service 08/2021
Firefly,9M-FYL,ATR 42/72 (72-212A),948,Update,Parked since 10/2021
Flair Airlines,C-FLKJ,Boeing 737 NG / Max (737-8MAX) 64945 (7791),New,Delivery 16/11/2021,
Fly Jet KZ,UP-CJ014,Canadair RJ (CRJ-200ER),7990,Update,Parked since 10/2021
Fly Jet KZ,UP-EM019,Embraer 135/145 (135BJ),1113,Update,Parked since 09/2021
Fly2Sky,LZ-MDO,Airbus A320 (320-214),879,Update,Back in service 11/2021
FlyArystan,EI-KBA,Airbus A320 (320-232),5401,New,Delivery 12/11/2021  Ex FlyArystan P4-KBA
FlyArystan,P4-KBA,Airbus A320 (320-232),5401,Delete,To FlyArystan as EI-KBA 12/11/2021
FlyArystan,EI-KBE,Airbus A320 (320-232),5968,New,Delivery 21/10/2021  Ex FlyArystan P4-KBE
FlyArystan,P4-KBE,Airbus A320 (320-232),5968,Delete,To FlyArystan as EI-KBE 21/10/2021
FlyArystan,EI-KBN,Airbus A320 (320-232),6343,New,Delivery 12/11/2021  Ex FlyArystan P4-KBN
FlyArystan,P4-KBN,Airbus A320 (320-232),6343,Delete,To FlyArystan as EI-KBN 12/11/2021
Flybe,G-JECX,Dash 8 (DHC-8 402),4155,Delete,To Flybe (new) as G-JECX 05/11/2021
Flybe (new),G-JECX,Dash 8 (DHC-8 402),4155,New,Delivery 05/11/2021  Ex Flybe G-JECX
FlyDubai,A6-FER,Boeing 737 NG / Max (737-8KN),40268 (5163),Update,Back in service 11/2021
FlyDubai,A6-FMU,Boeing 737 NG / Max (737-8MAX) 60996 (8128),New,Delivery 10/11/2021,
FlyDubai,A6-FMV,Boeing 737 NG / Max (737-8MAX) 60997 (8136),New,Delivery 18/11/2021,
FlyNamibia,V5-WIN,Embraer 135/145 (145LR),285,New,Delivery 01/11/2021 Ex Westair Aviation V5-WIN
FlyNamibia,V5-WEJ,Embraer 135/145 (145MP),342,New,Delivery 01/11/2021  Ex Westair Aviation V5-WEJ
Flynas,VP-CXN,Airbus A320 (320-214),2569,Update,Stored 08/2021
Formula One,G-OFOM,BAe 146 / Avro RJ (Bae 146-100) 1144,Update,Parked since 10/2021,
Fuji Dream Airlines,JA04FJ,Embraer 170/175 (170SE),129,Update,Back in service 11/2021
Funair Corporation,N737AG,Boeing 737 NG / Max (737-7BF(BBJ)),30496 (301),Update,Parked since 10/2021
GainJet Aviation,SX-RFA,Boeing 757 (757-23N),30232 (888),Update,Back in service 11/2021
Galistair Malta,9H-VDB,Airbus A321 (321-211),1607,Update,Parked since 10/2021
Garuda,PK-GPD,Airbus A330 (330-341),144,Update,Back in service 11/2021
Garuda,PK-GMO,Boeing 737 NG / Max (737-8U3),30147 (3327),Update,Back in service 11/2021
Garuda,PK-GFK,Boeing 737 NG / Max (737-86N),37887 (3463),Update,Back in service 11/2021
Garuda,PK-GFR,Boeing 737 NG / Max (737-81D),39417 (3802),Update,Back in service 11/2021
Garuda,PK-GNQ,Boeing 737 NG / Max (737-8U3),39954 (5284),Update,Back in service 11/2021
Garuda,PK-GNN,Boeing 737 NG / Max (737-86N),41270 (5116),Update,Back in service 11/2021
Garuda,PK-GIF,Boeing 777 (777-3U3ER),29148 (1203),Update,Back in service 10/2021
Garuda,PK-GRT,Canadair RJ (CRJ-1000ER),19044,Update,Back in service 11/2021
Genghis Khan Airlines,B-606C,Comac ARJ21 (ARJ21-700),135,Update,Parked since 09/2021
Georgian Airways,4L-TGC,Boeing 737 NG / Max (737-8FH),35092 (2160),Delete,To Armenia Airways as EK-73792 05/11/2021
GetJet Airlines,LY-EMU,Airbus A320 (320-233),2118,Update,Parked since 10/2021
Global Jet Luxembourg,LX-LTI,Airbus A318 (318-112CJ ELITE),4169,Update,Parked since 09/2021
Go First,VT-WGP,Airbus A320 (320-271N),8146,Update,Back in service 11/2021
Go First,VT-WJW,Airbus A320 (320-271N),9530,Update,Back in service 11/2021
Go First,VT-WJZ,Airbus A320 (320-271N),9597,New,Delivery 29/10/2021
Go2Sky Airline,OM-GTH,Boeing 737 NG / Max (737-8BK),29644 (2231),New,Delivery 01/09/2021  Ex Corendon Air OM-GTH
GoJet Airlines,N578GJ,Canadair RJ (CRJ-550),10083,Update,Back in service 11/2021
GoJet Airlines,N508MJ,Canadair RJ (CRJ-700),10087,New,Delivery 08/10/2021  Ex Mesa Airlines N508MJ
GoJet Airlines,N524GJ,Canadair RJ (CRJ-550),10097,Update,Parked since 10/2021
GoJet Airlines,N516LR,Canadair RJ (CRJ-702),10258,Update,Back in service 11/2021
GOL Transportes Aereos PR-GTP,PR-GUN,Boeing 737 NG / Max (737-8EH),37610 (3912),Update,Back in service 10/2021
GOL Transportes Aereos PR-GTP,PR-GUP,Boeing 737 NG / Max (737-8HX),38876 (4114),Update,Back in service 10/2021
GOL Transportes Aereos PR-GTP,PR-GUR,Boeing 737 NG / Max (737-8HX),38877 (4144),Update,Returned to lessor 11/2021
GOL Transportes Aereos PR-GTP,PR-GUQ,Boeing 737 NG / Max (737-8EH),39604 (4160),Update,Back in service 10/2021
GOL Transportes Aereos PR-GTP,PR-GXN,Boeing 737 NG / Max (737-8EH),39631 (4741),Update,Back in service 11/2021
GOL Transportes Aereos PR-GTP,PR-GXV,Boeing 737 NG / Max (737-8EH),39639 (4931),Update,Back in service 11/2021
GOL Transportes Aereos PR-GTP,PS-GPC,Boeing 737 NG / Max (737-8MAX) 44864 (7293),New,Delivery 14/10/2021,
GOL Transportes Aereos PR-GTP,PR-XMW,Boeing 737 NG / Max (737-8MAX) 60237 (7946),New,Delivery 28/10/2021,
Gulf Air,A9C-AF,Airbus A320 (320-214),4158,Update,Back in service 10/2021
Gulf Air,A9C-AO,Airbus A320 (320-214),4860,Delete,To LATAM Brasil as PR-TQC 24/10/2021
Gulf Wings,A6-ANK,Embraer 135/145 (135BJ),1045,Update,Parked since 10/2021
GullivAir,LZ-AWY,Airbus A330 (330-223),939,Update,Back in service 10/2021
GY Challenger,N999YG,Canadair RJ (CRJ-100SE),7075,Update,Parked since 10/2021
Hainan Airlines,B-1098,Airbus A330 (330-343E),1875,Update,Back in service 11/2021
Hainan Airlines,B-1505,Boeing 737 NG / Max (737-84P),39962 (5460),Update,Parked since 09/2021
Hainan Airlines,B-1796,Boeing 737 NG / Max (737-84P),41569 (5331),Update,Parked since 09/2021
Hainan Airlines,B-1490,Boeing 737 NG / Max (737-84P),62572 (6553),Update,Parked since 09/2021
Hainan Airlines,B-207V,Boeing 787 (787-9),62732 (779),Update,Back in service 11/2021
Hawaiian Airlines,N208HA,Airbus A321 (321-271N),8123,Update,Parked since 09/2021
Hawaiian Airlines,N489HA,Boeing 717 (717-2BD),55002 (5003),Update,Parked since 10/2021
Hawaiian Airlines,N480HA,Boeing 717 (717-22A),55125 (5070),Update,Back in service 10/2021
Hawaiian Airlines,N483HA,Boeing 717 (717-22A),55128 (5079),Update,Back in service 10/2021
Hawaiian Airlines,N487HA,Boeing 717 (717-22A),55132 (5098),Update,Parked since 10/2021
Hawaiian Airlines,N490HA,Boeing 717 (717-2CM),55151 (5041),Update,Back in service 10/2021
Hawaiian Airlines,N493HA,Boeing 717 (717-2BL),55184 (5142),Update,Parked since 10/2021
Hawaiian Airlines,N495HA,Boeing 717 (717-2BL),55185 (5145),Update,Parked since 10/2021
Hendrick Motorsports,N509RH,Embraer 135/145 (145LR),517,Update,Parked since 10/2021
Hendrick Motorsports,N508RH,Embraer 135/145 (145LR),769,Update,Parked since 10/2021
Heston Airlines,LY-FJI,Airbus A320 (320-232),2157,New,Delivery 23/10/2021 lsd from Genesis Aircraft  Ex AeroContractors LY-FJI
Heston Airlines,LY-NZL,Airbus A320 (320-214),2388,Delete,To AeroContractors as LY-NZL 24/10/2021
Heston Airlines,LY-VUT,Airbus A320 (320-232),3275,Update,Parked since 09/2021
Hevilift Australia,VH-FVL,ATR 42/72 (72-212A),974,New,Delivery 04/10/2021  Ex Virgin Australia Regional Airlines VH-FVL
HiFly Malta,9H-JAI,Airbus A340 (340-313X),236,Update,Parked since 10/2021
Hillwood Airways,N737AT,Boeing 737 NG / Max (737-7HJ(BBJ)),36756 (2405),Update,Back in service 11/2021
Hong Kong Airlines,B-LPJ,Airbus A320 (320-214),5514,Update,Parked since 09/2021
Hong Kong Airlines,B-LPP,Airbus A320 (320-214),7035,Update,Parked since 09/2021
Hong Kong Airlines,B-LNQ,Airbus A330 (330-343E),1668,Update,Parked since 09/2021
Hong Kong Express Airways,B-LCL,Airbus A320 (320-271N),7209,Update,Back in service 11/2021
Hop!,F-GRZE,Canadair RJ (CRJ-700),10032,Update,Parked since 10/2021
Hop!,F-GRZO,Canadair RJ (CRJ-702),10265,Update,Stored 09/2021
Horizon Air,N445QX,Dash 8 (DHC-8 402),4358,Update,Parked since 09/2021
Hydro-Quebec,C-GHQP,Dash 8 (DHC-8 402),4004,Update,Back in service 11/2021
iAero Airways,N811TJ,Boeing 737 (737-306SF),23538 (1288),Update,Parked since 10/2021
iAero Airways,N263LM,Boeing 737 (737-4Q3),26603 (2618),New,Delivery 14/10/2021  Ex NewGen Airways HS-NGC
iAero Airways,N916BR,Boeing 737 NG / Max (737-8AS),29916 (210),New,Delivery 09/10/2021  Ex Sun Express TC-SBJ
iAero Airways,N471BS,Boeing 737 NG / Max (737-86J),30499 (567),Update,Back in service 11/2021
IBC Airways,N261BC,Embraer 135/145 (145ER),82,Update,Stored 09/2021
IBC Airways,N671BC,Saab 340 (340A),84,Update,Back in service 11/2021
Iberia,EC-NRG,Airbus A330 (330-202),1864,New,Delivery 07/11/2021
Iberia,EC-NRH,Airbus A330 (330-202),1882,New,Delivery 09/11/2021
Icelandair,TF-ICP,Boeing 737 NG / Max (737-8MAX) 44360 (7486),Update,Back in service 11/2021,
Icelandair,TF-ICB,Boeing 737 NG / Max (737-9MAX) 44568 (7425),Update,Back in service 10/2021,
Icelandair,TF-FIC,Boeing 757 (757-23N),30735 (931),Update,In service
IFL Group,N811FL,Canadair RJ (CRJ-100LRSF),7029,Update,Back in service 11/2021
Imetame,PR-PFD,ATR 42/72 (72-600),1235,Update,Back in service 11/2021
Indian Air Force,IN330,Boeing 737 NG / Max (737-8FV(P-8I)),64892 (8526),New,Delivery 18/10/2021
Indigo,VT-IIJ,Airbus A320 (320-251N),10625,New,Delivery 27/10/2021
Indigo,VT-IKE,Airbus A320 (320-232),2138,Update,Parked since 09/2021
Indigo,VT-IDN,Airbus A320 (320-232),2334,Delete,To Super Air Jet as PK-SAA 02/11/2021
Indigo,VT-IHH,Airbus A320 (320-214),3138,Update,Parked since 09/2021
Indigo,VT-IGW,Airbus A320 (320-232),4506,Delete,To Super Air Jet as PK-SAK 30/09/2021
Indigo,VT-IEC,Airbus A320 (320-232),4614,Delete,To Super Air Jet as PK-SAA 02/11/2021
Indigo,VT-IEM,Airbus A320 (320-232),4947,Update,Parked since 10/2021
Indigo,VT-IEN,Airbus A320 (320-232),4954,Update,Parked since 09/2021
Indigo,VT-IHR,Airbus A320 (320-232),5218,Update,Stored 11/2021
Indigo,VT-IEZ,Airbus A320 (320-232),5231,Update,Parked since 10/2021
Indigo,VT-IFJ,Airbus A320 (320-232),5473,Update,Stored 09/2021
Indigo,VT-IFM,Airbus A320 (320-232),5537,Update,Parked since 10/2021
Indigo,VT-IFN,Airbus A320 (320-232),5577,Update,Parked since 10/2021
Indigo,VT-IFP,Airbus A320 (320-232),5676,Update,Parked since 10/2021
Indigo,VT-IFX,Airbus A320 (320-232),5898,Update,Stored 11/2021
Indigo,VT-IRD,ATR 42/72 (72-600),1660,New,Delivery 02/11/2021
Indonesia Airasia,PK-AZE,Airbus A320 (320-214),5098,Update,Back in service 10/2021
Intel Corp,N286HF,Embraer 135/145 (145XR),1177,Update,Parked since 10/2021
interCaribbean,VQ-THM,ATR 42/72 (42-500),621,New,Delivery 08/08/2021  Ex SATENA HK-4949
interCaribbean,VQ-TBC,Embraer 120 Brasilia (120RT),283,Update,Back in service 11/2021
Iran Air,EP-IBB,Airbus A300 (300-605R),727,Update,Parked since 10/2021
Iran Air,EP-IEQ,Airbus A319 (319-112),1679,Update,Parked since 10/2021
Iran Air,EP-ITM,ATR 42/72 (72-600),1510,Update,Parked since 10/2021
Iran Aseman Airlines,EP-ATF,Fokker 70/100 (F28-0100),11476,Update,Parked since 10/2021
Iranian Gvmt,EP-IGA,Airbus A340 (340-313X),257,Update,Parked since 08/2021
Israeli Air Force,4X-ISR,Boeing 767 (767-338ER),30186 (796),Update,Parked since 08/2021
Israir,OK-TVM,Boeing 737 NG / Max (737-8FN),37077 (3163),New,Delivery 04/11/2021  Ex SmartWings OK-TVM
Israir,OK-TSD,Boeing 737 NG / Max (737-8Q8),41795 (4895),New,Delivery 10/11/2021  Ex SmartWings OK-TSD
ITA Transportes Aereos,PS-SIL,Airbus A319 (319-112),3689,New,Delivery 08/11/2021
Italian Air Force,MM62226,Boeing 767 (767-2EYER),33686 (912),Update,Parked since 10/2021
Japan Airlines,JA13XJ,Airbus A350 (350-941),538,New,Delivery 12/11/2021
Japan Airlines,JA324J,Boeing 737 NG / Max (737-846),35353 (3105),Update,Parked since 10/2021
Japan Airlines,JA709J,Boeing 777 (777-246ER),32896 (489),Update,Parked since 10/2021
Japan Airlines,JA824J,Boeing 787 (787-846),34834 (27),Update,Parked since 10/2021
JC International Airlines,XU-995,Airbus A320 (320-214),7312,Update,Parked since 08/2021
Jeju Air,HL8332,Boeing 737 NG / Max (737-8JP),39010 (3871),Update,Back in service 11/2021
Jet Airways,VT-JWU,Airbus A330 (330-302),1391,Delete,To Nordwind Airlines as VP-BUJ 29/10/2021
Jet Force V,N835BZ,Boeing 737 NG / Max (737-7AK(BBJ)),29866 (408),Update,Back in service 11/2021
Jet2,G-GDFO,Boeing 737 (737-3U3),28740 (3003),Update,Parked since 10/2021
Jet2,G-GDFN,Boeing 737 (737-33V),29332 (3072),Update,Parked since 10/2021
Jet2,G-DRTJ,Boeing 737 NG / Max (737-86N),35647 (2927),Update,Parked since 10/2021
Jet2,G-LSAI,Boeing 757 (757-21B),24016 (150),Update,Back in service 11/2021
JetBlue Airways,N504JB,Airbus A320 (320-232),1156,Update,Parked since 10/2021
JetBlue Airways,N505JB,Airbus A320 (320-232),1173,Update,Parked since 10/2021
JetBlue Airways,N506JB,Airbus A320 (320-232),1235,Update,Back in service 11/2021
JetBlue Airways,N520JB,Airbus A320 (320-232),1446,Update,Parked since 10/2021
