Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Uzbekistan Airways,UK-75703,Boeing 757 (757-231),28487 (878),Update,Parked since 09/2021
Uzbekistan Airways,UK75705,Boeing 757 (757-231),28488 (884),Update,Parked since 08/2021
Uzbekistan Airways,UK75704,Boeing 757 (757-231),30339 (896),Update,Stored 10/2021
Varesh Airlines,EP-VAR,Boeing 737 (737-524),28927 (3074),Update,Parked since 09/2021
VietJetAir,VN-A689,Airbus A320 (320-214),4190,Update,Back in service 10/2021
VietJetAir,VN-A691,Airbus A320 (320-214),4504,Update,Back in service 10/2021
VietJetAir,VN-A671,Airbus A320 (320-214),6958,Update,Back in service 10/2021
VietJetAir,VN-A675,Airbus A320 (320-214),7167,Update,Back in service 11/2021
VietJetAir,VN-A667,Airbus A321 (321-211),6936,Update,Back in service 10/2021
VietJetAir,VN-A544,Airbus A321 (321-211),7055,Update,Back in service 10/2021
VietJetAir,VN-A684,Airbus A321 (321-211),7342,Update,Back in service 11/2021
VietJetAir,VN-A685,Airbus A321 (321-211),7427,Update,Back in service 11/2021
VietJetAir,VN-A642,Airbus A321 (321-211),7689,Update,Back in service 11/2021
VietJetAir,VN-A635,Airbus A321 (321-211),7919,Update,Back in service 11/2021
VietJetAir,VN-A644,Airbus A321 (321-211),7953,Update,Back in service 10/2021
VietJetAir,VN-A647,Airbus A321 (321-211),8061,Update,Back in service 10/2021
VietJetAir,VN-A653,Airbus A321 (321-271N),8199,Update,Back in service 10/2021
VietJetAir,VN-A607,Airbus A321 (321-271N),8790,Update,Back in service 10/2021
VietJetAir,VN-A531,Airbus A321 (321-271N),9059,Update,Back in service 11/2021
VietJetAir,VN-A524,Airbus A321 (321-271NX),9401,Update,Back in service 11/2021
VietJetAir,VN-A533,Airbus A321 (321-271NX),9515,Update,Back in service 11/2021
Vietnam Airlines,VN-A367,Airbus A321 (321-231),4315,Update,Back in service 10/2021
Vietnam Airlines,VN-A323,Airbus A321 (321-231),4669,Update,Back in service 10/2021
Vietnam Airlines,VN-A325,Airbus A321 (321-231),4737,Update,Back in service 10/2021
Vietnam Airlines,VN-A334,Airbus A321 (321-231),5164,Update,Back in service 10/2021
Vietnam Airlines,VN-A335,Airbus A321 (321-231),5241,Update,Back in service 10/2021
Vietnam Airlines,VN-A395,Airbus A321 (321-231),5385,Update,Back in service 10/2021
Vietnam Airlines,VN-A616,Airbus A321 (321-272N),8501,Update,Back in service 11/2021
Vietnam Airlines,VN-A620,Airbus A321 (321-272N),8649,Update,Back in service 10/2021
Vietnam Airlines,VN-A624,Airbus A321 (321-272N),8747,Update,Back in service 11/2021
Vietnam Airlines,VN-A508,Airbus A321 (321-272N),9108,Update,Back in service 10/2021
Vietnam Airlines,VN-A890,Airbus A350 (350-941),56,Update,Back in service 11/2021
Vietnam Airlines,VN-B237,ATR 42/72 (72-212A),925,Update,Back in service 10/2021
Vietnam Airlines,VN-A874,Boeing 787 (787-10),60290 (972),Update,Back in service 11/2021
Virgin Atlantic,G-VLUV,Airbus A330 (330-343X),1206,Update,Back in service 11/2021
Virgin Australia,VH-VUX,Boeing 737 NG / Max (737-8FE),37823 (3415),Update,In service
Virgin Australia,VH-YQH,Boeing 737 NG / Max (737-8FE),41000 (3963),New,Delivery 07/11/2021
Virgin Australia Regional Airlines,VH-FVL,ATR 42/72 (72-212A),974,Delete,To Hevilift Australia as VH-FVL 04/10/2021
Vista Jet,9H-ILY,Canadair RJ (CRJ-100SE),8076,Update,Parked since 10/2021
Vistara,VT-TYC,Airbus A320 (320-251N),10573,New,Delivery 03/11/2021
VivaAeroBus,XA-VBR,Airbus A321 (321-271NXLR),10484,New,Delivery 05/11/2021
VivaAeroBus,XA-VBV,Airbus A321 (321-231),6219,Delete,Delivery 01/12/2021 To enter in service Ex Avianca N725AV
Volaris,XA-VSF,Airbus A320 (320-271N),10098,New,Delivery 10/11/2021
Volaris,N521VL,Airbus A320 (320-233),5651,Update,Parked since 10/2021
