Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
China Airlines,CI,CAL,B,85,67,DYNASTY,https://images.planefinder.net/api/logo/CAL/w/256,http://en.wikipedia.org/wiki/China_Airlines
China Cargo Airlines,CK,CKK,B,20,21,CARGO KING,https://images.planefinder.net/api/logo/CKK/w/256,http://en.wikipedia.org/wiki/China_Cargo_Airlines
China Eastern Airlines,MU,CES,B,623,260,CHINA EASTERN,https://images.planefinder.net/api/logo/CES/w/256,http://en.wikipedia.org/wiki/China_Eastern_Airlines
China Express Airlines,G5,HXA,B,79,133,CHINA EXPRESS,https://images.planefinder.net/api/logo/HXA/w/256,http://en.wikipedia.org/wiki/China_Express_Airlines
China Postal Airlines,CF,CYZ,B,42,46,CHINA POST,https://images.planefinder.net/api/logo/CYZ/w/256,http://en.wikipedia.org/wiki/China_Postal_Airlines
China Southern Airlines,CZ,CSN,B,696,250,CHINA SOUTHERN,https://images.planefinder.net/api/logo/CSN/w/256,http://en.wikipedia.org/wiki/China_Southern_Airlines
China Southern Cargo,-,CSG,B,19,0,SOUTHERN CARGO,https://images.planefinder.net/api/logo/CSG/w/256,https://en.wikipedia.org/wiki/China_Southern_Airlines
China United Airlines,KN,CUA,B,80,75,LIANHANG,https://images.planefinder.net/api/logo/CUA/w/256,http://en.wikipedia.org/wiki/China_United_Airlines
Chongqing Airlines,OQ,CQN,B,31,11,CHONG QING,https://images.planefinder.net/api/logo/CQN/w/256,http://en.wikipedia.org/wiki/Chongqing_Airlines
Chrono Aviation,-,NDL,C,9,0,NEEDLE,https://images.planefinder.net/api/logo/NDL/w/256,https://www.chronoaviation.com/en/fleet
Cinnamon Air,C7,CIN,4R,0,8,CINNAMON,https://images.planefinder.net/api/logo/CIN/w/256,https://en.wikipedia.org/wiki/Cinnamon_Air
Citilink,QG,CTV,PK,57,44,SUPERGREEN,https://images.planefinder.net/api/logo/CTV/w/256,http://en.wikipedia.org/wiki/Citilink
CityJet,WX,BCY,EI,18,0,CITY IRELAND,https://images.planefinder.net/api/logo/BCY/w/256,http://en.wikipedia.org/wiki/CityJet
Civil Air Patrol,-,CAP,N,0,0,,https://images.planefinder.net/api/logo/CAP/w/256,https://en.wikipedia.org/wiki/Civil_Air_Patrol
Clic Air,VE,EFY,HK,21,31,EASYFLY,https://images.planefinder.net/api/logo/EFY/w/256,https://en.wikipedia.org/wiki/Clic_Air
CM Airlines,CC,OMT,,1,1,CMAIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/CM_Airlines
CMA CGM Air Cargo,2C,CMA,F,6,0,FRENCH CARGO,https://images.planefinder.net/api/logo/CMA/w/256,https://en.wikipedia.org/wiki/CMA_CGM_Air_Cargo
Coastal Aviation,CQ,CSV,5H,9,12,COASTAL TRAVEL,https://images.planefinder.net/api/logo/CSV/w/256,https://en.wikipedia.org/wiki/Coastal_Aviation
Colorful Guizhou Airlines,GY,CGZ,B,21,54,COLORFUL,https://images.planefinder.net/api/logo/CGZ/w/256,https://en.wikipedia.org/wiki/Colorful_Guizhou_Airlines
Comair,MN,CAW,ZS,0,3,COMAIR,https://images.planefinder.net/api/logo/CAW/w/256,http://en.wikipedia.org/wiki/Comair_(South_Africa)
Comlux,-,CLA,HB,3,0,COMLUX,https://images.planefinder.net/api/logo/CLA/w/256,http://en.wikipedia.org/wiki/Comlux
Comlux Kazakhstan,-,KAZ,UP,3,0,KAZLUX,https://images.planefinder.net/api/logo/KAZ/w/256,http://en.wikipedia.org/wiki/Comlux
Comlux Malta,-,MLM,9H,11,0,LUXMALTA,https://images.planefinder.net/api/logo/MLM/w/256,http://en.wikipedia.org/wiki/Comlux
CommutAir,C5,UCA,N,0,0,COMMUTAIR,https://images.planefinder.net/api/logo/UCA/w/256,http://en.wikipedia.org/wiki/CommutAir
Comores Aviation,O5,KMZ,,0,0,COMORES,https://images.planefinder.net/api/logo/KMZ/w/256,https://en.wikipedia.org/wiki/Comores_Aviation_International
Conair Group,-,FGD,C,23,0,FIREGUARD,https://images.planefinder.net/api/logo/FGD/w/256,https://en.wikipedia.org/wiki/Conair_Group
Condor Flugdienst,DE,CFG,D,54,91,CONDOR,https://images.planefinder.net/api/logo/CFG/w/256,http://en.wikipedia.org/wiki/Condor_Flugdienst
Congo Airways,8Z,CGA,,2,0,CONGO AIR,https://images.planefinder.net/api/logo/CGA/w/256,https://en.wikipedia.org/wiki/Congo_Airways
Constanta Airline,-,UZA,UR,11,0,CONSTANTA,https://images.planefinder.net/api/logo/UZA/w/256,https://en.wikipedia.org/wiki/Constanta_Airline
Contour Aviation,LF,VTE,N,48,41,VOLUNTEER,https://images.planefinder.net/api/logo/VTE/w/256,https://en.wikipedia.org/wiki/Contour_Airlines
Conviasa,V0,VCV,YV,23,23,CONVIASA,https://images.planefinder.net/api/logo/VCV/w/256,http://en.wikipedia.org/wiki/Conviasa
Copa Airlines,CM,CMP,HP,119,87,COPA,https://images.planefinder.net/api/logo/CMP/w/256,http://en.wikipedia.org/wiki/Copa_Airlines
Copenhagen AirTaxi,-,CAT,OY,4,0,AIRCAT,https://images.planefinder.net/api/logo/CAT/w/256,https://en.wikipedia.org/wiki/Copenhagen_AirTaxi
Corendon Airlines,XC,CAI,TC,15,95,CORENDON,https://images.planefinder.net/api/logo/CAI/w/256,http://en.wikipedia.org/wiki/Corendon_Airlines
Corendon Airlines Europe,XR,CXI,9H,13,38,CORENDON,https://images.planefinder.net/api/logo/CXI/w/256,https://en.wikipedia.org/wiki/Corendon_Airlines
Corendon Dutch Airlines,CD,CND,PH,3,23,DUTCH CORENDON,https://images.planefinder.net/api/logo/CND/w/256,http://en.wikipedia.org/wiki/Corendon_Dutch_Airlines
Corsair International,SS,CRL,F,9,15,CORSAIR,https://images.planefinder.net/api/logo/CRL/w/256,http://en.wikipedia.org/wiki/Corsair_International
Costa Rica Green Airways,GW,GRA,TI,0,6,GREEN,https://images.planefinder.net/api/logo/GRA/w/256,https://en.wikipedia.org/wiki/Costa_Rica_Green_Airways
Coyne Airways,7C,COY,G,0,51,COYNE AIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Coyne_Airways
Croatia Airlines,OU,CTN,9A,16,37,CROATIA,https://images.planefinder.net/api/logo/CTN/w/256,http://en.wikipedia.org/wiki/Croatia_Airlines
Cronos Airlines,C8,CRA,,4,4,CRONOS,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Cronos_Airlines
Crown Airlines,FQ,CWN,5A,1,0,,https://images.planefinder.net/api/logo/CWN/w/256,https://flycrown.aero/
CSA Czech Airlines,OK,CSA,OK,0,0,CSA-LINES,https://images.planefinder.net/api/logo/CSA/w/256,http://en.wikipedia.org/wiki/CSA_Czech_Airlines
Cubana,CU,CUB,CU,37,4,CUBANA,https://images.planefinder.net/api/logo/CUB/w/256,http://en.wikipedia.org/wiki/Cubana_de_Aviaci%C3%B3n
Cyprus Airways,CY,CYP,5B,6,14,CYPRUS,https://images.planefinder.net/api/logo/CYP/w/256,http://en.wikipedia.org/wiki/Cyprus_Airways
Czech Air Force,-,CEF,OK,82,0,,https://images.planefinder.net/api/logo/CEF/w/256,http://en.wikipedia.org/wiki/Czech_Air_Force
Daallo Airlines,D3,DAO,J2,3,9,DAALLO AIRLINES,https://images.planefinder.net/api/logo/DAO/w/256,http://en.wikipedia.org/wiki/Daallo_Airlines
Dalian Airlines,CA,CCD,B,13,221,XIANGJIAN,https://images.planefinder.net/api/logo/CCD/w/256,http://en.wikipedia.org/wiki/Dalian_Airlines
Dan Air,DN,DNA,YR,0,23,DAN AIR,https://images.planefinder.net/api/logo/DNA/w/256,https://en.wikipedia.org/wiki/Dan_Air_(Romania)
Dana Air,9J,DAN,5N,0,0,DANACO,https://images.planefinder.net/api/logo/DAN/w/256,http://en.wikipedia.org/wiki/Dana_Air
Danish Air Transport,DX,DTR,OY,25,28,DANISH,https://images.planefinder.net/api/logo/DTR/w/256,http://en.wikipedia.org/wiki/Danish_Air_Transport
Delta Air Lines,DL,DAL,N,1001,351,DELTA,https://images.planefinder.net/api/logo/DAL/w/256,http://en.wikipedia.org/wiki/Delta_Air_Lines
Denim Air,G6,DNM,PH,0,0,DENIM,https://images.planefinder.net/api/logo/DNM/w/256,http://en.wikipedia.org/wiki/Denim_Air
DHL Aero Expreso,D5,DAE,HP,0,0,YELLOW,https://images.planefinder.net/api/logo/DAE/w/256,http://en.wikipedia.org/wiki/DHL_Aero_Expreso
DHL Air Austria,Q7,DHA,OE,0,0,,https://images.planefinder.net/api/logo/DHA/w/256,
DHL Air UK,D0,DHK,G,108,0,WORLD EXPRESS,https://images.planefinder.net/api/logo/DHK/w/256,http://en.wikipedia.org/wiki/DHL_Air_UK
"DHL de Guatemala, S.A.",L3,JOS,TG,0,0,,https://images.planefinder.net/api/logo/JOS/w/256,http://en.wikipedia.org/wiki/DHL_de_Guatemala
DHL International E.C.,ES,DHX,A40,0,11,DILMUN,https://images.planefinder.net/api/logo/DHX/w/256,http://en.wikipedia.org/wiki/DHL_International_Aviation_ME
Discover Airlines,4Y,OCN,D,33,70,OCEAN,https://images.planefinder.net/api/logo/OCN/w/256,https://en.wikipedia.org/wiki/Eurowings_Discover
Divi Divi Air,3R,DVR,PJ,5,3,DIVI AIR,https://images.planefinder.net/api/logo/DVR/w/256,https://en.wikipedia.org/wiki/Divi_Divi_Air
Donghai Airlines,DZ,EPA,B,24,54,DONGHAI AIR,https://images.planefinder.net/api/logo/EPA/w/256,https://en.wikipedia.org/wiki/Donghai_Airlines
DOT LT,R6,DNU,LY,0,0,DANU,https://images.planefinder.net/api/logo/DNU/w/256,http://en.wikipedia.org/wiki/DOT_LT
Dragonair,KA,HDA,B-H,0,7,DRAGON,https://images.planefinder.net/api/logo/HDA/w/256,http://en.wikipedia.org/wiki/Dragonair
Drukair,KB,DRK,A5,6,17,ROYAL BHUTAN,https://images.planefinder.net/api/logo/DRK/w/256,http://en.wikipedia.org/wiki/Druk_Air
Dubai Royal Air Wing,-,DUB,A6,0,0,,https://images.planefinder.net/api/logo/DUB/w/256,http://en.wikipedia.org/wiki/Dubai_Royal_Air_Wing
Eagle Air,H7,EGU,5X,0,6,AFRICAN EAGLE,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Eagle_Air_(Uganda)
Eagle Air Iceland,IS,FEI,TF,2,0,ARCTIC EAGLE,https://images.planefinder.net/api/logo/FEI/w/256,https://en.wikipedia.org/wiki/Eagle_Air_(Iceland)
Eastar Jet,ZE,ESR,ZS,20,27,EASTARJET,https://images.planefinder.net/api/logo/ESR/w/256,http://en.wikipedia.org/wiki/Eastar_Jet
Eastern Air Express,-,BBQ,N,17,0,EASTERN EXPRESS,https://images.planefinder.net/api/logo/BBQ/w/256,https://en.wikipedia.org/wiki/Eastern_Air_Express
"Eastern Airlines, LLC",2D,EAL,N,18,0,DYNAMIC AIR,https://images.planefinder.net/api/logo/EAL/w/256,"https://en.wikipedia.org/wiki/Eastern_Airlines,_LLC"
Eastern Airways,T3,EZE,G,0,0,EASTFLIGHT,https://images.planefinder.net/api/logo/EZE/w/256,http://en.wikipedia.org/wiki/Eastern_Airways
Easy Charter,RD,LOL,4L,1,2,EASY CHARTER,https://images.planefinder.net/api/logo/LOL/w/256,https://easycharter.ge/
easyJet,U2,EZY,G,189,162,EASY,https://images.planefinder.net/api/logo/EZY/w/256,http://en.wikipedia.org/wiki/EasyJet
easyJet Europe,EC,EJU,0E,139,0,ALPINE,https://images.planefinder.net/api/logo/EJU/w/256,https://en.wikipedia.org/wiki/EasyJet_Europe
EasyJet Switzerland,DS,EZS,HB,31,0,TOPSWISS,https://images.planefinder.net/api/logo/EZS/w/256,http://en.wikipedia.org/wiki/EasyJet_Switzerland
EAT Leipzig,QY,BCS,OO,0,0,EUROTRANS,https://images.planefinder.net/api/logo/BCS/w/256,http://en.wikipedia.org/wiki/European_Air_Transport
Ecojet,8J,ECO,CP,3,7,ECOJET,https://images.planefinder.net/api/logo/ECO/w/256,http://en.wikipedia.org/wiki/EcoJet_(airline)
Edelweiss Air,WK,EDW,HB,23,108,EDELWEISS,https://images.planefinder.net/api/logo/EDW/w/256,http://en.wikipedia.org/wiki/Edelweiss_Air
EgyptAir,MS,MSR,SU,74,104,EGYPTAIR,https://images.planefinder.net/api/logo/MSR/w/256,http://en.wikipedia.org/wiki/EgyptAir
EgyptAir Cargo,-,MSX,SU,3,0,EGYPTAIR CARGO,https://images.planefinder.net/api/logo/MSX/w/256,http://en.wikipedia.org/wiki/EgyptAir_Cargo
EL AL Israel Airlines,LY,ELY,4X,49,65,EL AL,https://images.planefinder.net/api/logo/ELY/w/256,http://en.wikipedia.org/wiki/EL_AL_Israel_Airlines
Electra Airways,3E,EAF,LZ,12,0,ELECTRA,https://images.planefinder.net/api/logo/EAF/w/256,https://en.wikipedia.org/wiki/Electra_Airways
Elite Airways,7Q,MNU,N,0,9,MAINER,https://images.planefinder.net/api/logo/MNU/w/256,https://en.wikipedia.org/wiki/Elite_Airways
Ellinair,EL,ELB,SX,1,0,ELLINAIR HELLAS,https://images.planefinder.net/api/logo/ELB/w/256,https://en.wikipedia.org/wiki/Ellinair
Elysian Airlines,E4,GIE,TJ,0,3,,https://images.planefinder.net/api/logo/GIE/w/256,https://en.wikipedia.org/wiki/Elysian_Airlines
Embraer,-,EMB,PP/PT,29,0,EMBRAER,https://images.planefinder.net/api/logo/EMB/w/256,http://en.wikipedia.org/wiki/Embraer
Emerald Airlines,EI,EAI,EI,0,111,GEMSTONE,https://images.planefinder.net/api/logo/EAI/w/256,https://en.wikipedia.org/wiki/Emerald_Airlines
Emerald Airlines UK,EI,EAG,G,0,111,GREENSTONE,https://images.planefinder.net/api/logo/EAG/w/256,https://en.wikipedia.org/wiki/Emerald_Airlines
Emirates,EK,UAE,A6,280,177,EMIRATES,https://images.planefinder.net/api/logo/UAE/w/256,http://en.wikipedia.org/wiki/Emirates_Airlines
Empire Airlines,EM,CFS,N,0,43,EMPIRE,https://images.planefinder.net/api/logo/CFS/w/256,https://en.wikipedia.org/wiki/Empire_Airlines
Endeavor Air,9E,EDV,N,0,0,ENDEAVOR,https://images.planefinder.net/api/logo/EDV/w/256,http://en.wikipedia.org/wiki/Endeavor_Air
Enter Air,E4,ENT,SP,37,3,ENTERAIR,https://images.planefinder.net/api/logo/ENT/w/256,http://en.wikipedia.org/wiki/Enter_Air
Envoy Air,MQ,ENY,N,584,0,ENVOY,https://images.planefinder.net/api/logo/ENY/w/256,https://en.wikipedia.org/wiki/Envoy_Air
Equaflight,E7,EKA,,0,0,EQUAFLIGHT,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Equaflight
Eritrean Airlines,B8,ERT,E3,2,0,ERITREAN,https://images.planefinder.net/api/logo/ERT/w/256,http://en.wikipedia.org/wiki/Eritrean_Airlines
Estafeta Carga Aérea,E7,ESF,XA,6,0,ESTAFETA,https://images.planefinder.net/api/logo/ESF/w/256,http://en.wikipedia.org/wiki/Estafeta_Carga_A%C3%A9rea
Eswatini Air,RN,SZL,3DC,2,6,ESWATINI,https://images.planefinder.net/api/logo/SZL/w/256,https://en.wikipedia.org/wiki/Eswatini_Air
Ethiopian Airlines,ET,ETH,ET,153,179,ETHIOPIAN,https://images.planefinder.net/api/logo/ETH/w/256,http://en.wikipedia.org/wiki/Ethiopian_Airlines
Etihad Airways,EY,ETD,A6,125,122,ETIHAD,https://images.planefinder.net/api/logo/ETD/w/256,http://en.wikipedia.org/wiki/Etihad_Airways
EuroAtlantic Airways,YU,MMZ,CP,6,2,EUROATLANTIC,https://images.planefinder.net/api/logo/MMZ/w/256,http://en.wikipedia.org/wiki/EuroAtlantic_Airways
Euroavia Airlines,M8,SEB,5B,1,0,EURO AVIA,https://images.planefinder.net/api/logo/SEB/w/256,https://en.wikipedia.org/wiki/Euroavia_Airlines
European Air Charter,H6,BUC,LZ,11,0,BULGARIAN CHARTER,https://images.planefinder.net/api/logo/BUC/w/256,http://en.wikipedia.org/wiki/Bulgarian_Air_Charter
European Cargo,SE,URO,G,9,3,EURO,https://images.planefinder.net/api/logo/URO/w/256,https://european.aero/
Eurowings,EW,EWG,D,69,166,EUROWINGS,https://images.planefinder.net/api/logo/EWG/w/256,http://en.wikipedia.org/wiki/Eurowings
Eurowings Europe,E6,EWL,9H,29,0,BLACK PEARL,https://images.planefinder.net/api/logo/EWL/w/256,https://en.wikipedia.org/wiki/Eurowings_Europe
EVA Air,BR,EVA,B,90,61,EVA,https://images.planefinder.net/api/logo/EVA/w/256,http://en.wikipedia.org/wiki/EVA_Air
Everts Air,5V,VTS,N,22,20,EVERTS,https://images.planefinder.net/api/logo/VTS/w/256,http://en.wikipedia.org/wiki/Everts_Air
Ewa Air,ZD,EWR,F,2,7,MAYOTTE AIR,https://images.planefinder.net/api/logo/EWR/w/256,https://en.wikipedia.org/wiki/Ewa_Air
Exploits Valley Air Services,8K,EVS,C,8,7,EVAS,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Exploits_Valley_Air_Services
ExpressJet,EV,ASQ,N,0,0,ACEY,https://images.planefinder.net/api/logo/ASQ/w/256,http://en.wikipedia.org/wiki/ExpressJet
EZAir,EZ,EZR,,2,0,EZ AIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/EZAir
Eznis Airways,MG,EZA,JU,0,0,EZNIS,https://images.planefinder.net/api/logo/EZA/w/256,http://en.wikipedia.org/wiki/Eznis_Airways
Fastjet,FN,FTZ,5H,0,8,,https://images.planefinder.net/api/logo/FTZ/w/256,http://en.wikipedia.org/wiki/Fastjet
Fastjet Zimbabwe,FN,FJW,Z,4,8,ZIMBIRD,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Fastjet_Zimbabwe
FCS Flight Calibration Services,-,FCK,D,10,0,,https://images.planefinder.net/api/logo/FCK/w/256,http://www.flightcalibration.de/
FedEx,FX,FDX,N,580,0,FEDEX,https://images.planefinder.net/api/logo/FDX/w/256,http://en.wikipedia.org/wiki/FedEx_Express
Felix Airways,FO,FXX,7O,2,24,FELIX,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Felix_Airways
Fiji Airways,FJ,FJI,DQ,14,37,FIJI,https://images.planefinder.net/api/logo/FJI/w/256,https://en.wikipedia.org/wiki/Fiji_Airways
Fiji Link,FJ,FJA,DQ,10,37,LINK FIJI,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Fiji_Link
Finnair,AY,FIN,OH,53,130,FINNAIR,https://images.planefinder.net/api/logo/FIN/w/256,http://en.wikipedia.org/wiki/Finnair
Finnish Air Force,-,FNF,OH,83,0,,https://images.planefinder.net/api/logo/FNF/w/256,https://en.wikipedia.org/wiki/Finnish_Air_Force
Firefly,FY,FFM,9M,14,19,FIREFLY,https://images.planefinder.net/api/logo/FFM/w/256,http://en.wikipedia.org/wiki/Firefly_Airline
First Air,7F,FAB,C,0,0,FIRST AIR,https://images.planefinder.net/api/logo/FAB/w/256,http://en.wikipedia.org/wiki/First_Air
FitsAir,8D,EXV,4R,0,7,EXPOAVIA,https://images.planefinder.net/api/logo/EXV/w/256,https://en.wikipedia.org/wiki/FitsAir
Flair Airlines,F8,FLE,C,20,27,FLAIR,https://images.planefinder.net/api/logo/FLE/w/256,http://en.wikipedia.org/wiki/Flair_Airlines
FlexFlight,W2,FXT,OY,0,171,,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://flexflight.dk/
FlexJet,-,LXJ,N,322,0,FLEXJET,https://images.planefinder.net/api/logo/LXJ/w/256,https://en.wikipedia.org/wiki/Flexjet
Flight Calibration Services Ltd,-,VOR,G,1,0,,https://images.planefinder.net/api/logo/VOR/w/256,http://www.flight-cal.com/
Flight Options,-,OPT,N,14,0,,https://images.planefinder.net/api/logo/OPT/w/256,http://www.flightoptions.com/
Fly All Ways,8W,EDR,PZ,1,2,BIRDVIEW,https://images.planefinder.net/api/logo/EDR/w/256,https://en.wikipedia.org/wiki/Fly_All_Ways
Fly Baghdad,IF,FBA,YI,0,4,IRAQ EXPRESS,https://images.planefinder.net/api/logo/FBA/w/256,https://en.wikipedia.org/wiki/Fly_Baghdad
Fly Jinnah,9P,FJL,AP,8,14,FLY JINNAH,https://images.planefinder.net/api/logo/FJL/w/256,https://en.wikipedia.org/wiki/Fly_Jinnah
Fly Mid Africa,8G,MFG,,0,6,MID AFRICA,https://images.planefinder.net/api/logo/MFG/w/256,http://flymidafrica.aero/
Fly Pro,FP,PVV,ER,3,6,SUNDAY,https://images.planefinder.net/api/logo/PVV/w/256,https://en.wikipedia.org/wiki/Fly_Pro
Fly2Sky Airlines,F6,VAW,LZ,0,0,SOFIA JET,https://images.planefinder.net/api/logo/VAW/w/256,https://en.wikipedia.org/wiki/VIA_Airways
Fly540,5H,FFV,5Y,0,0,SWIFT TANGO,https://images.planefinder.net/api/logo/FFV/w/256,http://en.wikipedia.org/wiki/Fly540
flyadeal,F3,FAD,HZ,47,42,PURPLE,https://images.planefinder.net/api/logo/FAD/w/256,https://en.wikipedia.org/wiki/Flyadeal
FlyArystan,FS,AYN,UN,28,23,ARYSTAN,https://images.planefinder.net/api/logo/AYN/w/256,https://en.wikipedia.org/wiki/FlyArystan
FlyBE,BE,BEE,G,0,6,JERSEY,https://images.planefinder.net/api/logo/BEE/w/256,http://en.wikipedia.org/wiki/FlyBE
FlyBig,S9,FLG,VT,0,0,EASY SHUTTLE,https://images.planefinder.net/api/logo/FLG/w/256,https://en.wikipedia.org/wiki/FlyBig
Flybondi,FO,FBD,LV,11,24,FLYBONDI,https://images.planefinder.net/api/logo/FBD/w/256,https://en.wikipedia.org/wiki/Flybondi
FlyDubai,FZ,FDB,A6,98,138,SKY DUBAI,https://images.planefinder.net/api/logo/FDB/w/256,http://en.wikipedia.org/wiki/FlyDubai
FlyEgypt,FT,FEG,SU,0,2,SKY EGYPT,https://images.planefinder.net/api/logo/FEG/w/256,https://en.wikipedia.org/wiki/FlyEgypt
Flyme,VP,VQI,8Q,1,2,VILLA AIR,https://images.planefinder.net/api/logo/VQI/w/256,https://en.wikipedia.org/wiki/Flyme_(Villa_Air)
FlyMontserrat,5M,MNT,,2,2,MONTSERRAT,https://images.planefinder.net/api/logo/MNT/w/256,http://en.wikipedia.org/wiki/FlyMontserrat
flynas,XY,KNE,HZ,66,76,NAS EXPRESS,https://images.planefinder.net/api/logo/KNE/w/256,http://en.wikipedia.org/wiki/Flynas
FLYONE,5F,FIA,ER,11,36,FIA AIRLINES,https://images.planefinder.net/api/logo/FIA/w/256,https://en.wikipedia.org/wiki/FlyOne
FLYONE Romania,OE,FOE,YR,3,9,FIRST EAGLE,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://www.planespotters.net/airline/FLYONE-Romania
FlyPelican,FP,FRE,VH,4,6,PELICAN,https://images.planefinder.net/api/logo/FRE/w/256,https://en.wikipedia.org/wiki/FlyPelican
Flyyo,4D,DIR,YR,2,0,DIREKT WINGS,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://flyyo.com/
Freebird Airlines,FH,FHY,TC,11,15,FREEBIRD AIR,https://images.planefinder.net/api/logo/FHY/w/256,http://en.wikipedia.org/wiki/Freebird_Airlines
Freedom Airline Express,4F,FDT,5Y,3,5,FREEDOM EAGLE,https://images.planefinder.net/api/logo/FDT/w/256,https://en.wikipedia.org/wiki/Freedom_Airline_Express
French Air Force,-,FAF,F,353,0,,https://images.planefinder.net/api/logo/FAF/w/256,http://en.wikipedia.org/wiki/French_Air_Force
French Bee,BF,FBU,F,6,8,FRENCH BEE,https://images.planefinder.net/api/logo/FBU/w/256,https://en.wikipedia.org/wiki/French_Bee
French Navy,-,FNY,F,81,0,,https://images.planefinder.net/api/logo/FNY/w/256,https://en.wikipedia.org/wiki/French_Navy
Frontier Airlines,F9,FFT,N,171,89,FRONTIER FLIGHT,https://images.planefinder.net/api/logo/FFT/w/256,http://en.wikipedia.org/wiki/Frontier_Airlines
Frost Air,-,FRO,SE,4,0,FROST,https://images.planefinder.net/api/logo/FRO/w/256,https://en.wikipedia.org/wiki/Frost_Air
FTL Airlines,C0,FGO,F,1,0,RED CARGO,https://images.planefinder.net/api/logo/FGO/w/256,https://centreforaviation.com/data/profiles/airlines/ftl-airlines-c0
Fuji Dream Airlines,JH,FDA,JA,15,17,FUJI DREAM,https://images.planefinder.net/api/logo/FDA/w/256,http://en.wikipedia.org/wiki/Fuji_Dream_Airlines
Fuzhou Airlines,FU,FZA,JA,16,39,STRAIT AIR,https://images.planefinder.net/api/logo/FZA/w/256,http://en.wikipedia.org/wiki/Fuzhou_Airlines
Galistair Infinite Aviation,8S,GTR,9H,1,2,GALISTAIR,https://images.planefinder.net/api/logo/GTR/w/256,https://flygalistair.com/
Gama Aviation,-,GMA,G,38,0,GAMA,https://images.planefinder.net/api/logo/GMA/w/256,http://en.wikipedia.org/wiki/Gama_Aviation
Garuda Indonesia,GA,GIA,PK,78,52,INDONESIA,https://images.planefinder.net/api/logo/GIA/w/256,http://en.wikipedia.org/wiki/Garuda_Indonesia
Gazpromavia,4G,GZP,RA,118,4,GAZPROM,https://images.planefinder.net/api/logo/GZP/w/256,http://en.wikipedia.org/wiki/Gazpromavia
Georgian Airlines,GH,IGT,4L,3,0,SKY IKA,https://images.planefinder.net/api/logo/IGT/w/256,https://www.planespotters.net/airline/Georgian-Airlines
Georgian Airlines,A9,TGZ,4L,11,16,TAMAZI,https://images.planefinder.net/api/logo/TGZ/w/256,http://en.wikipedia.org/wiki/Georgian_Airlines
Geosky,D4,GEL,4L,0,0,SKY GEORGIA,https://images.planefinder.net/api/logo/GEL/w/256,https://en.wikipedia.org/wiki/Geo-Sky
German Air Force,-,GAF,D,78,0,,https://images.planefinder.net/api/logo/GAF/w/256,https://en.wikipedia.org/wiki/German_Air_Force
German Airways,ZQ,GER,D,9,0,GERMAN EAGLE,https://images.planefinder.net/api/logo/GER/w/256,https://germanairways.com/
Gestair Cargo,XG,RGN,EC,22,2,CYGNUS AIR,https://images.planefinder.net/api/logo/RGN/w/256,http://en.wikipedia.org/wiki/Gestair_Cargo
GetJet Airlines,GW,GJT,LY,17,6,GETJET,https://images.planefinder.net/api/logo/GJT/w/256,https://en.wikipedia.org/wiki/GetJet_Airlines
Getjet Airlines Latvia,GJ,DML,YL,0,80,DREAMLAND,https://images.planefinder.net/api/logo/DML/w/256,https://getjet.aero/
Ghadames Air Transport,NJ,GMS,5A,2,0,,https://images.planefinder.net/api/logo/GMS/w/256,https://en.wikipedia.org/wiki/Ghadames_Air_Transport
Global Aviation and Service Group,5S,GAK,5A,0,0,AVIAGROUP,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Global_Aviation_and_Services_Group
Global Jet Luxembourg,-,SVW,LX,38,0,SILVER ARROWS,https://images.planefinder.net/api/logo/SVW/w/256,http://www.globaljetlux.com/
GlobeAir,W2,GAC,0E,17,171,DREAM TEAM,https://images.planefinder.net/api/logo/GAC/w/256,https://de.wikipedia.org/wiki/GlobeAir
Go First,G8,GOW,VT,0,6,GOAIR,https://images.planefinder.net/api/logo/GOW/w/256,https://en.wikipedia.org/wiki/Go_First_(airline)
Go2Sky,6G,RLX,OM,3,4,RELAX,https://images.planefinder.net/api/logo/RLX/w/256,http://en.wikipedia.org/wiki/Go2Sky
