Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
Air Seychelles,HM,SEY,S7,7,11,SEYCHELLES,https://images.planefinder.net/api/logo/SEY/w/256,http://en.wikipedia.org/wiki/Air_Seychelles
Air Sunshine,YI,RSI,N,5,5,AIR SUNSHINE,https://images.planefinder.net/api/logo/RSI/w/256,http://en.wikipedia.org/wiki/Air_Sunshine
Air Tahiti,VT,VTA,F-O,13,48,AIR TAHITI,https://images.planefinder.net/api/logo/VTA/w/256,http://en.wikipedia.org/wiki/Air_Tahiti
Air Tahiti Nui,TN,THT,F-O,4,6,TAHITI AIRLINES,https://images.planefinder.net/api/logo/THT/w/256,http://en.wikipedia.org/wiki/Air_Tahiti_Nui
Air Tanzania,TC,ATC,5H,16,33,TANZANIA,https://images.planefinder.net/api/logo/ATC/w/256,http://en.wikipedia.org/wiki/Air_Tanzania
Air Tindi,8T,TID,N,26,9,DISCOVERY,https://images.planefinder.net/api/logo/TID/w/256,http://en.wikipedia.org/wiki/Air_Tindi
Air Transat,TS,TSC,C,41,75,AIR TRANSAT,https://images.planefinder.net/api/logo/TSC/w/256,http://en.wikipedia.org/wiki/Air_Transat
Air Transport International (ATI),8C,ATN,N,7,0,AIR TRANSPORT,https://images.planefinder.net/api/logo/ATN/w/256,http://en.wikipedia.org/wiki/Air_Transport_International
Air Travel,A6,OTC,B,17,43,AIR TRAVEL,https://images.planefinder.net/api/logo/OTC/w/256,https://en.wikipedia.org/wiki/Hongtu_Airlines
Air Urga,3N,URG,UR,10,0,URGA,https://images.planefinder.net/api/logo/URG/w/256,http://en.wikipedia.org/wiki/Air_Urga
Air Vanuatu,NF,AVN,YJ,3,17,AIR VAN,https://images.planefinder.net/api/logo/AVN/w/256,http://en.wikipedia.org/wiki/Air_Vanuatu
Air Wisconsin,ZW,AWI,N,34,0,WISCONSIN,https://images.planefinder.net/api/logo/AWI/w/256,https://en.wikipedia.org/wiki/Air_Wisconsin
Air Zimbabwe,UM,AZW,Z,7,5,AIR ZIMBABWE,https://images.planefinder.net/api/logo/AZW/w/256,http://en.wikipedia.org/wiki/Air_Zimbabwe
AirAsia,AK,AXM,9M,105,80,RED CAP,https://images.planefinder.net/api/logo/AXM/w/256,http://en.wikipedia.org/wiki/AirAsia
AirAsia X,D7,XAX,9M,20,25,XANADU,https://images.planefinder.net/api/logo/XAX/w/256,http://en.wikipedia.org/wiki/AirAsia_X
airBaltic,BT,BTI,YL,55,91,AIR BALTIC,https://images.planefinder.net/api/logo/BTI/w/256,http://en.wikipedia.org/wiki/AirBaltic
Airblue,PA,ABQ,AP,12,12,AIRBLUE,https://images.planefinder.net/api/logo/ABQ/w/256,http://en.wikipedia.org/wiki/Airblue
AirBridge Cargo,RU,ABW,RA,15,0,AIRBRIDGECARGO,https://images.planefinder.net/api/logo/ABW/w/256,http://en.wikipedia.org/wiki/AirBridge_Cargo
Airbus,-,AIB,N/A,11,0,AIRBUS INDUSTRIE,https://images.planefinder.net/api/logo/AIB/w/256,http://en.wikipedia.org/wiki/Airbus
Airbus Transport International,4Y,BGA,F,6,70,BELUGA,https://images.planefinder.net/api/logo/BGA/w/256,http://en.wikipedia.org/wiki/Airbus
Aircalin,SB,ACI,F-O,3,11,AIRCALIN,https://images.planefinder.net/api/logo/ACI/w/256,http://en.wikipedia.org/wiki/Aircalin
AirExplore,ED,AXE,OM,12,0,GALILEO,https://images.planefinder.net/api/logo/AXE/w/256,https://en.wikipedia.org/wiki/AirExplore
Airfast Indonesia,4C,AFE,PK,8,0,AIRFAST,https://images.planefinder.net/api/logo/AFE/w/256,http://en.wikipedia.org/wiki/Airfast_Indonesia
Airhub Airlines,RE,GJM,9H,0,0,AIRHUB,https://images.planefinder.net/api/logo/GJM/w/256,https://airhubaviation.com/
Airkenya Express,P2,XAK,5Y,0,15,SUNEXPRES,https://images.planefinder.net/api/logo/XAK/w/256,http://en.wikipedia.org/wiki/Airkenya_Express
Airlines of Tasmania,-,ATM,VH,7,0,AIRTAS,https://images.planefinder.net/api/logo/ATM/w/256,http://en.wikipedia.org/wiki/Airlines_of_Tasmania
Airlink,4Z,LNK,ZS,69,48,LINK,https://images.planefinder.net/api/logo/LNK/w/256,https://en.wikipedia.org/wiki/Airlink
Airmaster,MR,RMX,SU,2,9,AIR MASTER,https://images.planefinder.net/api/logo/RMX/w/256,https://airmasteregypt.com/
