id,name,legal_name,trading_name,iata_code,icao_code,prefix,callsign,fleet_size,destinations_count,logo_url,wikipedia_url,website_url,hubs,alliance,employees,headquarters,founded,status_bucket,country_code,key_personnel,detailed_destinations
2201,Sky Express,NULL,NULL,G3,SEH,SX,AIR CRETE,0,0,https://images.planefinder.net/api/logo/SEH/w/256,https://en.wikipedia.org/wiki/Sky_Express_%28Greece%29,www.skyexpress.gr,Athens ; Heraklion ; Thessaloniki,,,Europe,24 February 2005 ( 2005-02-24 ),active,GR,Celso Ferrer (President & CEO),Albania: Tirana (TIA) — Tirana International Airport Nënë Tereza; Armenia: Yerevan (EVN) — Zvartnots International Airport; Austria: Vienna (VIE) — Vienna International Airport; Belgium: Brussels (BRU) — Brussels Airport; Bulgaria: Sofia (SOF) — Vasil Levski Sofia Airport; Cyprus: Larnaca (LCA) — Larnaca Airport; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; France: Lille (LIL) — Lille Airport; Marseille: Marseille Provence Airport — Seasonal; Nantes: Nantes Atlantique Airport — Seasonal; Georgia: Tbilisi (TBS) — Tbilisi International Airport; Germany: Berlin (BER) — Berlin Brandenburg Airport; Greece: Alexandroupoli (AXD) — Alexandroupoli Airport; Athens: Athens International Airport — Base; Heraklion: Heraklion International Airport — Base; Thessaloniki: Thessaloniki Airport — Base; Volos: Nea Anchialos National Airport — Seasonal; Israel: Tel Aviv (TLV) — David Ben Gurion International Airport; Italy: Milan (MXP) — Milan Malpensa Airport; The Netherlands: Amsterdam (AMS) — Amsterdam Schiphol Airport; Poland: Warsaw (WAW) — Warsaw Chopin Airport; Portugal: Lisbon (LIS) — Lisbon Humberto Delgado Airport; Spain: Madrid (MAD) — Madrid–Barajas Airport; Turkey: Istanbul (IST) — Istanbul Airport; United Kingdom: London (LGW) — Gatwick Airport
4048,Sky Express Poland,NULL,NULL,,,,,,,,,,,,,Europe,,active,PL,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4795,Sky Eyes,NULL,NULL,,,,,,,,,,,,,Asia,,active,TH,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2994,Sky Gate International Aviation,NULL,NULL,,,,,,,,,,,,,Asia,,active,KG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4392,Sky Gates Airlines,NULL,NULL,U3,SAY,RA,SKY PATH,2,0,https://images.planefinder.net/api/logo/SAY/w/256,https://en.wikipedia.org/wiki/Sky_Gates_Airlines,,Zhukovsky International Airport; Sheremetyevo International Airport,,,Asia,2015 ( 2015 ); 2016 ( 2016 ),active,SA,,
2106,Sky Georgia,NULL,NULL,,,,,,,,,,,,,Asia,,active,GE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2146,Sky Greenland,NULL,NULL,,,,,,,,,,,,,Americas,,active,GL,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
1436,SKY HELI GmbH,NULL,NULL,,,,,,,,,,,,,Europe,,active,DE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4393,Sky High Aviation Services,NULL,NULL,-,SHH,,LUPUS,15,0,https://images.planefinder.net/api/logo/AYY/w/256,https://en.wikipedia.org/wiki/Aeronaves_TSM,www.aeronavestsm.com,Santo Domingo–Las Américas; Miami,,,Asia,"2012; October 5, 2012",active,SA,Viktor Peters (CEO); Sergey Ivanovich Sumbayev (General Director); Marwan Traboulsi (CEO); Guillaume Faury (CEO); René Obermann (chairman),Anguilla: The Valley (AXA) — Clayton J. Lloyd International Airport; Antigua and Barbuda: Osbourn (ANU) — V. C. Bird International Airport; Aruba: Oranjestad (AUA) — Queen Beatrix International Airport; Bonaire: Kralendijk (BON) — Flamingo International Airport; Cuba: Havana (HAV) — José Martí International Airport; Curaçao: Willemstad (CUR) — Curaçao International Airport; Dominican Republic: Punta Cana (PUJ) — Punta Cana International Airport; Santiago de los Caballeros: Cibao International Airport — Seasonal; Santo Domingo: Las Américas International Airport — Hub; Guadeloupe: Pointe-à-Pitre (PTP) — Pointe-à-Pitre International Airport; Guyana: Georgetown (GEO) — Cheddi Jagan International Airport; Martinique: Fort-de-France (FDF) — Martinique Aimé Césaire International Airport; Suriname: Paramaribo (PBM) — Johan Adolf Pengel International Airport; Saint Kitts and Nevis: Basseterre (SKB) — Robert L. Bradshaw International Airport; Sint Maarten: Philipsburg (SXM) — Princess Juliana International Airport; United States: Miami (MIA) — Miami International Airport; Providence: Rhode Island T. F. Green International Airport — Seasonal; United States Virgin Islands: Saint Croix (STX) — Henry E. Rohlsen Airport
1002,Sky Jet,NULL,NULL,,,,,1,,,,,,,,Europe,,active,CH,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2995,Sky KG Airlines,NULL,NULL,,,,,,,,,,,,,Asia,,active,KG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
5170,Sky Lease Cargo,NULL,NULL,GG,KYE,N,SKY CUBE,0,0,https://images.planefinder.net/api/logo/KYE/w/256,https://en.wikipedia.org/wiki/Sky_Lease_Cargo,skyleasecargo .com,,,,Americas,1969 ( 1969 ); 1973 ( 1973 ),active,US,Alfonso Rey (Chairman); Marcos Montesano (CEO); Wade Johnson (COO),Argentina: Buenos Aires (EZE) — Ministro Pistarini International Airport; Brazil: Campinas (VCP) — Viracopos International Airport; Chile: Santiago (SCL) — Arturo Merino Benítez International Airport; Colombia: Bogotá (BOG) — El Dorado International Airport; Ecuador: Quito (UIO) — Mariscal Sucre International Airport; Netherlands: Amsterdam (AMS) — Amsterdam Airport Schiphol; Paraguay: Ciudad del Este (AGT) — Guaraní International Airport; Peru: Lima (LIM) — Jorge Chávez International Airport; United States: Miami (MIA) — Miami International Airport; Uruguay: Montevideo (MVD) — Carrasco International Airport; Venezuela: Caracas (CCS) — Simón Bolívar International Airport
1897,Sky Mali,NULL,NULL,-,FML,,LUPUS,15,0,https://images.planefinder.net/api/logo/AYY/w/256,https://en.wikipedia.org/wiki/Aeronaves_TSM,www.aeronavestsm.com,Bamako International Airport; Bamako ; Timbuktu,,,Europe,22 July 2020 ( 2020-07-22 ),active,FR,Viktor Peters (CEO); Sergey Ivanovich Sumbayev (General Director); Marwan Traboulsi (CEO); Guillaume Faury (CEO); René Obermann (chairman),
4644,Sky One,NULL,NULL,,,,,,,,,,,,,Europe,,active,SK,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3230,Sky Prim Air,NULL,NULL,,,,,,,,,,,,,Europe,,active,MD,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3235,Sky Prim Air SRL,NULL,NULL,,,,,,,,,,,,,Europe,,active,MD,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4482,Sky Prime,NULL,NULL,,,,,,,,,,,,,Asia,,active,SA,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
