Model,Make,Max Range nm,Cruise Speed kts,Capacity,Purchase Price,enhanced_manufacturer,enhanced_model,enhanced_iata_code,enhanced_icao_code,enhanced_type,enhanced_wtc,enhanced_engine_type,enhanced_engine_count,enhanced_thrust_per_engine_kn,enhanced_wingspan_m,enhanced_length_m,enhanced_height_m,enhanced_empty_weight_kg,enhanced_mtow_kg,enhanced_mzfw_kg,enhanced_max_payload_kg,enhanced_typical_c_seats,enhanced_typical_y_seats,enhanced_max_capacity,enhanced_max_range_nm,enhanced_cruise_speed_mach,enhanced_max_speed,enhanced_service_ceiling_ft,enhanced_min_takeoff_length_ft,enhanced_min_landing_length_ft,enhanced_surface_compatibility,enhanced_list_price_usd,enhanced_op_cost_per_hour,enhanced_lease_rate_monthly,enhanced_residual_value_trend,enhanced_carbon_intensity,enhanced_fuel_type,enhanced_noise_chapter,enhanced_saf_compatible,enhanced_production_start,enhanced_production_end,enhanced_total_built,enhanced_mro_availability,enhanced_cargo_volume_m3,enhanced_cockpit_crew,enhanced_exit_limit,enhanced_tail_height,enhanced_wing_area_m2,enhanced_fuselage_width_m,enhanced_cabin_width_m,enhanced_operating_empty_weight_kg,enhanced_fuel_capacity_l,enhanced_ceiling_ft,enhanced_range_nm,enhanced_takeoff_distance_ft,enhanced_powerplant,enhanced_avionics
206B3,Bell,301,111,4,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206L1,Bell,253,114,6,525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206L3,Bell,253,112,6,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206L4,Bell,270,109,4,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206LT,Bell,194,108,6,1150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Bell,182,100,14,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222UT,Bell,320,136,9,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Bell,310,148,9,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Bell,281,124,6,2350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407GX,Bell,281,124,6,2650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407GXi,Bell,288,133,6,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407GXP,Bell,288,133,6,2950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412 EPX,Bell,318,123,14,11800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412EP,Bell,314,126,14,9600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412EPI,Bell,318,129,14,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412HP,Bell,312,130,14,2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412SP,Bell,312,130,14,2200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Bell,325,138,7,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Bell,276,155,7,7200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429 (IGW),Bell,276,155,7,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429 WLG,Bell,0,155,7,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429 WLG (IGW),Bell,276,155,7,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Bell,267,139,9,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505 Jet Ranger X,Bell,0,130,4,1550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huey II,Bell,216,115,14,1975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UH-1H,Bell,216,115,14,1090800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caravan XP42A,Blackhawk,627,189,9,3122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Air B200 XP61,Blackhawk,975,311,6,4250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Air C90 XP135A,Blackhawk,739,270,5,3023000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHC Dash 8-Q400,Bombardier,1710,360,19,23040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 25D,Bombardier,895,475,6,340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 31A,Bombardier,1211,462,6,1150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 31A/ER,Bombardier,1480,462,6,1213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 31ER,Bombardier,1480,462,6,712500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 35A,Bombardier,1930,470,6,925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 36A,Bombardier,2425,470,4,675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 40XR,Bombardier,1778,465,6,3900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 55/55B,Bombardier,1870,490,7,1050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 55C,Bombardier,1870,490,7,1050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learjet 60XR,Bombardier,2044,465,7,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172S Skyhawk SP,Cessna,352,124,3,477000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172XP Hawk,Cessna,0,130,3,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180K,Cessna,470,148,5,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182TSkylane,Cessna,666,145,3,603000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206H,Cessna,522,142,5,570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208 Caravan/Cargo Pod,Cessna,100,186,9,984300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208B Gnd Caravan/Carg Pod,Cessna,465,186,9,1922550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208B Grand Caravan EX,Cessna,494,185,10,2685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210N,Cessna,451,174,5,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310R II,Cessna,469,207,5,158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337H,Cessna,952,172,5,108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340A Ram VII,Cessna,950,260,5,502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350 Corvalis,Cessna,1143,191,3,440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402C,Cessna,986,231,7,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414A,Cessna,844,235,7,440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414A RamV,Cessna,1184,240,7,539950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421C,Cessna,929,236,5,485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquest II-10,Cessna,1500,320,6,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquest II-8,Cessna,1200,300,6,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P210N,Cessna,445,210,5,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T210R,Cessna,926,204,5,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU206G,Cessna,684,174,5,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U206G,Cessna,739,156,5,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR20,Cirrus,800,165,3,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR20 G2,Cirrus,800,165,3,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR20 G3 GTS,Cirrus,785,155,3,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR20 G6,Cirrus,785,155,3,649900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22,Cirrus,930,186,3,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22 G2,Cirrus,930,186,3,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22 G3 GTS,Cirrus,0,186,3,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
