Model_ID,Source_URL,Bibliography
capaviationcap102021230231232,https://www.airliners.net/aircraft-data/cap-aviation-cap-102021230231232/32,Airliners.net
casac212aviocar,https://www.airliners.net/aircraft-data/casa-c212-aviocar/136,Airliners.net
casaiptncn235,https://www.airliners.net/aircraft-data/casaiptn-cn235/137,Airliners.net
cessna150152,https://www.airliners.net/aircraft-data/cessna-150-152/138,Airliners.net
cessna170,https://www.airliners.net/aircraft-data/cessna-170/139,Airliners.net
cessna172skyhawkearlymodels175skylark,https://www.airliners.net/aircraft-data/cessna-172-skyhawk-early-models-175-skylark/140,Airliners.net
cessna172skyhawklatermodels,https://www.airliners.net/aircraft-data/cessna-172-skyhawk-later-models/141,Airliners.net
cessna172rsskyhawk,https://www.airliners.net/aircraft-data/cessna-172rs-skyhawk/142,Airliners.net
cessna177cardinal,https://www.airliners.net/aircraft-data/cessna-177-cardinal/143,Airliners.net
cessna180185skywagon,https://www.airliners.net/aircraft-data/cessna-180-185-skywagon/144,Airliners.net
cessna182skylane,https://www.airliners.net/aircraft-data/cessna-182-skylane/145,Airliners.net
cessna188agwagonseries,https://www.airliners.net/aircraft-data/cessna-188-agwagon-series/146,Airliners.net
cessna205206207,https://www.airliners.net/aircraft-data/cessna-205-206-207/147,Airliners.net
cessna208caravanigrandcaravancargomaster,https://www.airliners.net/aircraft-data/cessna-208-caravan-i-grand-caravan-cargomaster/158,Airliners.net
cessna210centurion,https://www.airliners.net/aircraft-data/cessna-210-centurion/148,Airliners.net
cessna310320,https://www.airliners.net/aircraft-data/cessna-310320/149,Airliners.net
cessna336337skymaster,https://www.airliners.net/aircraft-data/cessna-336-337-skymaster/150,Airliners.net
cessna340335,https://www.airliners.net/aircraft-data/cessna-340-335/151,Airliners.net
cessna404titan,https://www.airliners.net/aircraft-data/cessna-404-titan/152,Airliners.net
cessna411401402,https://www.airliners.net/aircraft-data/cessna-411-401-402/153,Airliners.net
cessna421414,https://www.airliners.net/aircraft-data/cessna-421-414/154,Airliners.net
cessna500501citationcitationicitationisp,https://www.airliners.net/aircraft-data/cessna-500-501-citation-citation-i-citation-isp/157,Airliners.net
cessna560citationvultraultraencore,https://www.airliners.net/aircraft-data/cessna-560-citation-v-ultra-ultra-encore/162,Airliners.net
cessna560xlcitationexcel,https://www.airliners.net/aircraft-data/cessna-560xl-citation-excel/161,Airliners.net
cessna680citationsovereign,https://www.airliners.net/aircraft-data/cessna-680-citation-sovereign/164,Airliners.net
cessnacitationiibravo,https://www.airliners.net/aircraft-data/cessna-citation-ii-bravo/160,Airliners.net
cessnacitationiiivivii,https://www.airliners.net/aircraft-data/cessna-citation-iii-vi-vii/163,Airliners.net
cessnacitationx,https://www.airliners.net/aircraft-data/cessna-citation-x/166,Airliners.net
cessnacitationjetcj1cj2,https://www.airliners.net/aircraft-data/cessna-citationjet-cj1-cj2/159,Airliners.net
cessnacorsairconquestiiicaravanii,https://www.airliners.net/aircraft-data/cessna-corsair-conquest-i-ii-caravan-ii/156,Airliners.net
cessnat303crusader,https://www.airliners.net/aircraft-data/cessna-t303-crusader/155,Airliners.net
chichestermilesleopard,https://www.airliners.net/aircraft-data/chichester-miles-leopard/165,Airliners.net
cirrussr2022,https://www.airliners.net/aircraft-data/cirrus-sr-2022/167,Airliners.net
commander114b,https://www.airliners.net/aircraft-data/commander-114b/168,Airliners.net
convair2403404405405806006405800,https://www.airliners.net/aircraft-data/convair-2403404405405806006405800/169,Airliners.net
curtissc46commando,https://www.airliners.net/aircraft-data/curtiss-c46-commando/171,Airliners.net
dassaultfalcon2000,https://www.airliners.net/aircraft-data/dassault-falcon-2000/176,Airliners.net
dassaultfalcon50,https://www.airliners.net/aircraft-data/dassault-falcon-50/174,Airliners.net
dassaultfalcon900,https://www.airliners.net/aircraft-data/dassault-falcon-900/175,Airliners.net
dassaultmystrefalcon10100,https://www.airliners.net/aircraft-data/dassault-myst%C3%A8refalcon-10-100/172,Airliners.net
dassaultmystrefalcon20200,https://www.airliners.net/aircraft-data/dassault-myst%C3%A8refalcon-20-200/173,Airliners.net
dehavillandcanadadash7,https://www.airliners.net/aircraft-data/de-havilland-canada-dash-7/182,Airliners.net
dehavillandcanadadhc1chipmunk,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-1-chipmunk/177,Airliners.net
dehavillandcanadadhc3otter,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-3-otter/179,Airliners.net
dehavillandcanadadhc4caribou,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-4-caribou/180,Airliners.net
dehavillandcanadadhc6twinotter,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-6-twin-otter/181,Airliners.net
dehavillandcanadadhc8100200dash8,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-8-100200-dash-8/120,Airliners.net
dehavillandcanadadhc8300dash8,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-8-300-dash-8/121,Airliners.net
dehavillandcanadadhc8400dash8,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc-8-400-dash-8/122,Airliners.net
dehavillandcanadadhc2beaver,https://www.airliners.net/aircraft-data/de-havilland-canada-dhc2-beaver/178,Airliners.net
dehavillanddh104dove,https://www.airliners.net/aircraft-data/de-havilland-dh104-dove/184,Airliners.net
dehavillanddh114heron,https://www.airliners.net/aircraft-data/de-havilland-dh114-heron/185,Airliners.net
dehavillanddh82tigermoth,https://www.airliners.net/aircraft-data/de-havilland-dh82-tiger-moth/183,Airliners.net
diamondda40diamondstar,https://www.airliners.net/aircraft-data/diamond-da-40-diamond-star/402,Airliners.net
diamondda42twinstar,https://www.airliners.net/aircraft-data/diamond-da-42-twin-star/403,Airliners.net
dornier228,https://www.airliners.net/aircraft-data/dornier-228/211,Airliners.net
dornier328,https://www.airliners.net/aircraft-data/dornier-328/212,Airliners.net
dornierdo27,https://www.airliners.net/aircraft-data/dornier-do-27/186,Airliners.net
dornierdo28128,https://www.airliners.net/aircraft-data/dornier-do-28-128/187,Airliners.net
douglasdc3,https://www.airliners.net/aircraft-data/douglas-dc-3/188,Airliners.net
douglasdc4,https://www.airliners.net/aircraft-data/douglas-dc-4/189,Airliners.net
douglasdc6,https://www.airliners.net/aircraft-data/douglas-dc-6/190,Airliners.net
douglasdc7,https://www.airliners.net/aircraft-data/douglas-dc-7/191,Airliners.net
douglasdc81020304050,https://www.airliners.net/aircraft-data/douglas-dc-8-1020304050/192,Airliners.net
douglasdc86070,https://www.airliners.net/aircraft-data/douglas-dc-8-6070/194,Airliners.net
ehindustrieseh101,https://www.airliners.net/aircraft-data/eh-industries-eh-101/193,Airliners.net
