IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
SHS,SC7,Shorts,SC-7 Skyvan,Shorts SC-7 Skyvan,SC-7 Skyvan,,2T,Passenger,,In Service
SSC,,Aerospatiale,/ SNIAS Concorde,Aerospatiale / SNIAS Concorde,/ SNIAS Concorde,,,Passenger,H,In Service
SU1,,Sukhoi,Superjet 100,Sukhoi Superjet 100,Superjet 100,,,Passenger,,In Service
SU7,ZZZZ,Sukhoi,Superjet 100-75,Sukhoi Superjet 100-75,Superjet 100-75,,2J,Passenger,,In Service
SU9,SU95,Sukhoi,Superjet 100-95,Sukhoi Superjet 100-95,Superjet 100-95,,2J,Passenger,M,In Service
SWF,*,Fairchild-Swearingen,SA226 Freighter,Fairchild-Swearingen SA226 Freighter,SA226 Freighter,,2T,Passenger,,In Service
SWM,*,Fairchild-Swearingen,SA26 / SA226 / SA227 Metro / Merlin,Fairchild-Swearingen SA26 / SA226 / SA227 Metro / Merlin,SA26 / SA226 / SA227 Metro / Merlin,,2T,Passenger,,In Service
SY8,AN12,Shaanxi,Y-8,Shaanxi Y-8,Y-8,,4T,Passenger,,In Service
T20,T204,Tupolev,Tu-204 / Tu-214,Tupolev Tu-204 / Tu-214,Tu-204 / Tu-214,,2J,Passenger,H,In Service
T2F,T204,Tupolev,Tu-204 Freighter,Tupolev Tu-204 Freighter,Tu-204 Freighter,,2J,Passenger,,In Service
T34,T334,Tupolev,Tu-334,Tupolev Tu-334,Tu-334,,2J,Passenger,,In Service
TBM,TBM7,DAHER-SOCATA,TBM-700,DAHER-SOCATA TBM-700,TBM-700,,1T,Passenger,,In Service
TRN,0000,Surface,Equipment Train,Surface Equipment Train,Equipment Train,,S,Passenger,,In Service
TU3,T134,Tupolev,Tu-134,Tupolev Tu-134,Tu-134,,2J,Passenger,M,In Service
TU5,T154,Tupolev,Tu-154,Tupolev Tu-154,Tu-154,,3J,Passenger,H,In Service
VCV,,Vickers,Viscount,Vickers Viscount,Viscount,,,Passenger,,In Service
VCX,,Vickers,VC-10,Vickers VC-10,VC-10,,,Passenger,,In Service
WWP,WW24,IAI,1124 Westwind,IAI 1124 Westwind,1124 Westwind,,2J,Passenger,,In Service
YK2,YK42,Yakovlev,/ Jakovlev Yak 42,Yakovlev / Jakovlev Yak 42,/ Jakovlev Yak 42,,3J,Passenger,M,In Service
YK4,YK40,Yakovlev,/ Jakovlev Yak 40,Yakovlev / Jakovlev Yak 40,/ Jakovlev Yak 40,,3J,Passenger,L,In Service
YN2,Y12,HAMC,/ Harbin Y12,HAMC / Harbin Y12,/ Harbin Y12,,2T,Passenger,L,In Service
YN7,AN24,Xian,Yunshuji Y7,Xian Yunshuji Y7,Yunshuji Y7,,2T,Passenger,,In Service
YS1,YS11,NAMC,YS-11,NAMC YS-11,YS-11,,2T,Passenger,M,In Service
,A337,Airbus,A330-700 Beluga XL,Airbus A330-700 Beluga XL,A330-700 Beluga XL,,,Passenger,,In Service
A25,A225,Antonov,An-225 Mriya,Antonov An-225 Mriya,An-225 Mriya,,,Passenger,,In Service
,BE58,Beechcraft,Baron,Beechcraft Baron,Baron,,,Passenger,,In Service
,BE55,Beechcraft,Baron / 55 Baron,Beechcraft Baron / 55 Baron,Baron / 55 Baron,,,Passenger,,In Service
778,B778,Boeing,777-8,Boeing 777-8,777-8,,,Passenger,,In Service
779,B779,Boeing,777-9,Boeing 777-9,777-9,,,Passenger,,In Service
78J,B78X,Boeing,787-10,Boeing 787-10,787-10,,,Passenger,,In Service
,CL2T,Bombardier,415,Bombardier 415,415,,,Passenger,,In Service
,CL30,Bombardier,BD-100 Challenger 300,Bombardier BD-100 Challenger 300,BD-100 Challenger 300,,,Passenger,,In Service
,C152,Cessna,152,Cessna 152,152,,,Passenger,,In Service
,C919,COMAC,C-919,COMAC C-919,C-919,,,Passenger,,In Service
E7W,E75L,Embraer,175 (long wing),Embraer 175 (long wing),175 (long wing),,,Passenger,,In Service
E7W,E75S,Embraer,175 (short wing),Embraer 175 (short wing),175 (short wing),,,Passenger,,In Service
,E545,Embraer,Legacy 450,Embraer Legacy 450,Legacy 450,,,Passenger,,In Service
GJ6,GLF6,Gulfstream,G650,Gulfstream G650,G650,,,Passenger,,In Service
GJ4,GLF4,Gulfstream,IV,Gulfstream IV,IV,,,Passenger,,In Service
GJ5,GLF5,Gulfstream,V,Gulfstream V,V,,,Passenger,,In Service
,P28B,Piper,PA-28 (above 200 hp),Piper PA-28 (above 200 hp),PA-28 (above 200 hp),,,Passenger,,In Service
,P28A,Piper,PA-28 (up to 180 hp),Piper PA-28 (up to 180 hp),PA-28 (up to 180 hp),,,Passenger,,In Service
,PA44,Piper,PA-44 Seminole,Piper PA-44 Seminole,PA-44 Seminole,,,Passenger,,In Service
S92,S92,Sikorsky,S-92,Sikorsky S-92,S-92,,,Passenger,,In Service
,T144,Tupolev,Tu-144,Tupolev Tu-144,Tu-144,,,Passenger,,In Service
